mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
656941,277,234,1184,0.252,77,27.8,36,13.0,0.366,0.598,0.964,0.346,498,167,33.53,14.1,198,16.72,30.83,21.17,20.81
665742,249,208,1013,0.24,59,23.69,33,13.25,0.344,0.442,0.786,0.202,395,102,25.82,10.07,212,20.93,31.0,20.0,19.6
646240,242,212,971,0.241,65,26.86,22,9.09,0.325,0.415,0.74,0.174,492,147,29.88,15.14,139,14.32,29.45,27.85,20.5
695578,228,209,927,0.278,71,31.14,17,7.46,0.33,0.493,0.823,0.21499999999999997,410,138,33.66,14.89,170,18.34,33.23,29.15,25.0
621566,216,196,910,0.281,60,27.78,16,7.41,0.333,0.459,0.792,0.178,437,122,27.92,13.41,140,15.38,28.79,28.57,20.34
660271,240,218,905,0.284,67,27.92,22,9.17,0.35,0.564,0.9139999999999999,0.27999999999999997,417,138,33.09,15.25,153,16.91,32.15,30.53,27.46
596019,227,200,896,0.235,30,13.22,20,8.81,0.317,0.365,0.6819999999999999,0.13,433,78,18.01,8.71,144,16.07,24.78,29.52,11.28
672695,219,185,873,0.341,15,6.85,26,11.87,0.416,0.486,0.9019999999999999,0.14499999999999996,367,26,7.08,2.98,182,20.85,23.83,20.93,6.12
624413,204,181,865,0.227,61,29.9,18,8.82,0.309,0.42,0.729,0.19299999999999998,385,112,29.09,12.95,154,17.8,30.75,27.05,21.86
682985,201,179,852,0.218,60,29.85,17,8.46,0.29,0.33,0.62,0.11200000000000002,427,122,28.57,14.32,134,15.73,30.05,30.4,19.87
547180,229,209,852,0.273,50,21.83,19,8.3,0.336,0.478,0.8140000000000001,0.20499999999999996,500,168,33.6,19.72,64,7.51,27.23,39.74,17.61
641487,213,183,851,0.235,40,18.78,25,11.74,0.333,0.344,0.677,0.10899999999999999,362,79,21.82,9.28,159,18.68,27.97,18.62,17.24
680757,226,203,849,0.246,20,8.85,15,6.64,0.3,0.281,0.581,0.03500000000000003,364,29,7.97,3.42,185,21.79,25.21,22.07,9.17
663728,205,185,834,0.281,61,29.76,18,8.78,0.351,0.681,1.032,0.4,457,163,35.67,19.54,91,10.91,30.46,35.94,22.99
683002,210,192,829,0.224,51,24.29,14,6.67,0.286,0.318,0.604,0.094,373,96,25.74,11.58,157,18.94,30.52,25.58,21.89
592885,207,186,826,0.242,57,27.54,17,8.21,0.316,0.344,0.6599999999999999,0.10199999999999998,369,118,31.98,14.29,153,18.52,32.81,26.42,22.53
607043,204,184,812,0.261,49,24.02,12,5.88,0.319,0.413,0.732,0.15199999999999997,395,96,24.3,11.82,137,16.87,28.69,27.88,18.35
673548,182,150,800,0.24,41,22.53,28,15.38,0.352,0.493,0.845,0.253,303,58,19.14,7.25,151,18.88,26.12,16.45,15.83
668227,205,186,793,0.242,51,24.88,11,5.37,0.296,0.457,0.753,0.21500000000000002,369,97,26.29,12.23,147,18.54,30.77,29.05,21.52
682829,211,199,793,0.236,61,28.91,11,5.21,0.276,0.342,0.6180000000000001,0.10600000000000004,383,120,31.33,15.13,135,17.02,32.16,32.67,25.1
679529,190,159,790,0.264,42,22.11,28,14.74,0.368,0.516,0.884,0.252,338,87,25.74,11.01,128,16.2,27.22,24.25,16.6
680776,209,194,789,0.211,57,27.27,10,4.78,0.26,0.34,0.6000000000000001,0.12900000000000003,387,123,31.78,15.59,144,18.25,33.84,34.72,23.46
607208,205,189,777,0.323,32,15.61,14,6.83,0.376,0.46,0.8360000000000001,0.137,410,85,20.73,10.94,91,11.71,22.65,31.86,13.22
668930,192,174,774,0.305,42,21.88,15,7.81,0.361,0.391,0.752,0.08600000000000002,338,72,21.3,9.3,155,20.03,29.33,22.97,17.14
