mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
621493,548,476,2305,0.221,142,25.91,62,11.31,0.311,0.454,0.765,0.233,859,207,24.1,8.98,537,23.3,32.28,20.8,20.79
621566,508,428,2262,0.269,116,22.83,75,14.76,0.381,0.495,0.876,0.22599999999999998,997,253,25.38,11.18,338,14.94,26.13,23.53,14.94
672695,504,412,2136,0.267,68,13.49,68,13.49,0.378,0.451,0.829,0.184,825,117,14.18,5.48,460,21.54,27.01,18.34,10.95
646240,490,395,2131,0.258,127,25.92,90,18.37,0.395,0.514,0.909,0.256,953,309,32.42,14.5,265,12.44,26.94,24.76,19.0
592450,518,418,2110,0.328,123,23.75,87,16.8,0.446,0.658,1.104,0.33,897,305,34.0,14.45,311,14.74,29.19,22.17,19.58
668227,507,427,2088,0.237,140,27.61,53,10.45,0.35,0.412,0.762,0.175,895,279,31.17,13.36,397,19.01,32.38,23.85,21.12
642715,507,432,2066,0.234,125,24.65,62,12.23,0.333,0.419,0.752,0.18499999999999997,988,293,29.66,14.18,284,13.75,27.93,27.14,19.75
663728,501,411,2061,0.231,127,25.35,79,15.77,0.362,0.547,0.909,0.31600000000000006,1008,299,29.66,14.51,209,10.14,24.65,30.21,20.75
596019,505,444,2056,0.282,101,20.0,45,8.91,0.358,0.511,0.869,0.22900000000000004,967,214,22.13,10.41,332,16.15,26.56,25.31,16.58
545361,453,366,2030,0.235,139,30.68,74,16.34,0.369,0.456,0.825,0.22100000000000003,783,233,29.76,11.48,381,18.77,30.25,20.0,22.4
671732,509,452,2022,0.246,130,25.54,53,10.41,0.325,0.42,0.745,0.174,961,305,31.74,15.08,267,13.2,28.29,26.18,22.11
668930,467,410,2003,0.28,108,23.13,51,10.92,0.359,0.454,0.813,0.174,890,186,20.9,9.29,351,17.52,26.81,24.0,16.59
542303,451,378,2003,0.235,111,24.61,64,14.19,0.347,0.415,0.762,0.18,798,216,27.07,10.78,395,19.72,30.5,22.88,16.57
665742,467,369,2002,0.276,78,16.7,94,20.13,0.423,0.572,0.9949999999999999,0.29599999999999993,658,134,20.36,6.69,415,20.73,27.42,13.91,15.07
660271,477,385,1997,0.278,119,24.95,85,17.82,0.411,0.649,1.06,0.371,853,284,33.29,14.22,266,13.32,27.54,23.99,22.12
695578,463,389,1996,0.244,150,32.4,68,14.69,0.359,0.465,0.8240000000000001,0.22100000000000003,751,244,32.49,12.22,408,20.44,32.67,22.18,26.27
677951,541,492,1993,0.287,95,17.56,36,6.65,0.34,0.504,0.8440000000000001,0.21700000000000003,1012,242,23.91,12.14,275,13.8,25.94,30.88,16.29
572233,507,464,1991,0.235,142,28.01,32,6.31,0.296,0.427,0.723,0.192,1031,327,31.72,16.42,244,12.26,28.68,28.34,22.72
