mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
608379,352,324,1337,0.247,78,22.16,21,5.97,0.293,0.404,0.6970000000000001,0.15700000000000003,660,157,23.79,11.74,222,16.6,28.35,29.65,19.01
668881,300,253,1314,0.174,94,31.33,30,10.0,0.285,0.292,0.577,0.118,663,195,29.41,14.84,182,13.85,28.69,28.83,20.52
573186,329,291,1307,0.296,47,14.29,31,9.42,0.372,0.474,0.846,0.178,579,94,16.23,7.19,219,16.76,23.95,25.04,12.47
543135,339,316,1287,0.247,78,23.01,21,6.19,0.295,0.424,0.719,0.177,668,170,25.45,13.21,211,16.39,29.6,31.27,18.57
686752,318,277,1283,0.209,86,27.04,35,11.01,0.309,0.372,0.681,0.163,600,166,27.67,12.94,211,16.45,29.38,28.53,20.0
571945,346,324,1277,0.281,63,18.21,14,4.05,0.313,0.478,0.7909999999999999,0.19699999999999995,627,111,17.7,8.69,244,19.11,27.8,25.72,15.56
663362,324,289,1276,0.26,67,20.68,26,8.02,0.328,0.453,0.781,0.193,552,103,18.66,8.07,244,19.12,27.19,24.41,19.59
623167,324,292,1276,0.271,62,19.14,28,8.64,0.333,0.507,0.8400000000000001,0.236,592,144,24.32,11.29,190,14.89,26.18,27.54,16.94
661563,303,262,1262,0.21,72,23.76,39,12.87,0.314,0.393,0.7070000000000001,0.18300000000000002,594,165,27.78,13.07,175,13.87,26.94,26.3,20.45
601713,289,266,1252,0.188,90,31.14,21,7.27,0.249,0.361,0.61,0.173,591,142,24.03,11.34,211,16.85,28.19,26.39,20.18
669194,314,288,1251,0.243,58,18.47,20,6.37,0.294,0.438,0.732,0.195,625,103,16.48,8.23,203,16.23,24.46,27.89,14.57
668678,303,275,1239,0.222,77,25.41,25,8.25,0.294,0.378,0.6719999999999999,0.156,536,138,25.75,11.14,239,19.29,30.43,31.34,20.21
641927,326,306,1235,0.19,87,26.69,15,4.6,0.233,0.359,0.592,0.16899999999999998,654,178,27.22,14.41,193,15.63,30.04,34.93,21.97
671737,310,278,1229,0.252,86,27.74,27,8.71,0.32,0.428,0.748,0.176,620,174,28.06,14.16,166,13.51,27.66,30.16,22.93
621107,335,315,1221,0.225,74,22.09,16,4.78,0.264,0.375,0.639,0.15,599,138,23.04,11.3,209,17.12,28.42,31.87,22.12
543243,316,290,1205,0.248,87,27.53,22,6.96,0.308,0.462,0.77,0.21400000000000002,591,162,27.41,13.44,205,17.01,30.46,29.2,24.23
679525,309,279,1191,0.251,61,19.74,18,5.83,0.317,0.427,0.744,0.176,584,120,20.55,10.08,195,16.37,26.45,27.68,17.04
625643,295,256,1190,0.238,77,26.1,34,11.53,0.324,0.367,0.6910000000000001,0.129,548,156,28.47,13.11,189,15.88,28.99,28.91,21.69
594902,304,271,1185,0.229,58,19.08,31,10.2,0.309,0.424,0.733,0.19499999999999998,520,99,19.04,8.35,236,19.92,28.27,22.64,16.81
687765,293,272,1170,0.287,69,23.55,15,5.12,0.332,0.496,0.8280000000000001,0.20900000000000002,604,137,22.68,11.71,173,14.79,26.5,31.96,18.63
665152,283,249,1133,0.221,65,22.97,32,11.31,0.311,0.398,0.7090000000000001,0.17700000000000002,500,126,25.2,11.12,199,17.56,28.68,26.44,19.1
694973,264,237,1099,0.186,86,32.58,22,8.33,0.262,0.278,0.54,0.09200000000000003,546,165,30.22,15.01,163,14.83,29.85,30.71,23.5
544150,263,233,1084,0.275,48,18.25,27,10.27,0.349,0.476,0.825,0.20099999999999996,529,135,25.52,12.45,120,11.07,23.52,25.8,13.82
668964,282,252,1081,0.262,53,18.79,23,8.16,0.326,0.405,0.7310000000000001,0.14300000000000002,513,106,20.66,9.81,175,16.19,25.99,26.49,16.77
694813,272,246,1064,0.211,62,22.79,25,9.19,0.287,0.341,0.628,0.13000000000000003,498,137,27.51,12.88,168,15.79,28.67,29.07,20.95
681857,253,221,1055,0.253,59,23.32,24,9.49,0.332,0.38,0.712,0.127,508,147,28.94,13.93,148,14.03,27.96,32.79,17.56
682847,263,233,1051,0.21,49,18.63,24,9.13,0.285,0.421,0.706,0.211,488,94,19.26,8.94,161,15.32,24.26,22.24,17.31
686563,276,255,1047,0.278,44,15.94,17,6.16,0.328,0.478,0.806,0.19999999999999996,509,108,21.22,10.32,163,15.57,25.88,31.52,14.57
543294,290,260,1042,0.304,42,14.48,25,8.62,0.367,0.488,0.855,0.184,475,99,20.84,9.5,190,18.23,27.74,29.57,15.67
458681,268,233,1029,0.258,50,18.66,30,11.19,0.343,0.429,0.772,0.17099999999999999,464,104,22.41,10.11,145,14.09,24.2,22.34,18.38
607259,264,248,1006,0.246,56,21.21,7,2.65,0.274,0.379,0.653,0.133,500,125,25.0,12.43,176,17.5,29.92,34.13,18.54
547179,251,214,1004,0.15,51,20.32,33,13.15,0.271,0.262,0.533,0.11200000000000002,458,117,25.55,11.65,146,14.54,26.2,24.77,17.48
683155,252,230,983,0.239,41,16.27,18,7.14,0.298,0.457,0.755,0.21800000000000003,532,95,17.86,9.66,125,12.72,22.38,26.83,12.35
683003,253,227,980,0.229,75,29.64,23,9.09,0.304,0.432,0.736,0.20299999999999999,505,168,33.27,17.14,136,13.88,31.02,29.04,27.31
628317,233,208,974,0.274,51,21.89,17,7.3,0.328,0.476,0.804,0.20199999999999996,425,91,21.41,9.34,166,17.04,26.39,28.04,16.55
667755,265,236,972,0.191,51,19.25,21,7.92,0.265,0.28,0.545,0.08900000000000002,453,93,20.53,9.57,160,16.46,26.03,29.13,21.07
680573,240,214,967,0.252,49,20.42,20,8.33,0.321,0.364,0.685,0.11199999999999999,465,92,19.78,9.51,165,17.06,26.58,30.43,15.81
657746,255,241,961,0.203,61,23.92,11,4.31,0.243,0.373,0.616,0.16999999999999998,506,126,24.9,13.11,160,16.65,29.76,31.03,19.18
680570,242,220,959,0.205,68,28.1,20,8.26,0.274,0.341,0.615,0.13600000000000004,484,150,30.99,15.64,147,15.33,30.97,30.13,21.94
680885,255,233,958,0.253,55,21.57,16,6.27,0.306,0.438,0.744,0.185,502,133,26.49,13.88,141,14.72,28.6,33.62,17.41
543037,228,206,957,0.209,64,28.07,19,8.33,0.285,0.33,0.615,0.12100000000000002,457,109,23.85,11.39,151,15.78,27.17,26.29,21.55
693433,249,239,943,0.222,52,20.88,8,3.21,0.249,0.356,0.605,0.13399999999999998,486,100,20.58,10.6,162,17.18,27.78,26.88,16.77
607192,244,223,941,0.197,80,32.79,17,6.97,0.254,0.368,0.622,0.17099999999999999,452,140,30.97,14.88,151,16.05,30.92,25.23,30.3
669467,239,215,940,0.209,45,18.83,24,10.04,0.289,0.265,0.554,0.05600000000000002,449,97,21.6,10.32,143,15.21,25.53,25.49,17.31
663554,228,204,928,0.275,45,19.74,16,7.02,0.327,0.422,0.749,0.14699999999999996,431,108,25.06,11.64,159,17.13,28.77,25.65,14.85
663855,223,183,912,0.29,37,16.59,32,14.35,0.413,0.426,0.839,0.136,399,98,24.56,10.75,124,13.6,24.34,24.51,14.98
665795,211,180,900,0.239,45,21.33,30,14.22,0.351,0.422,0.7729999999999999,0.183,388,87,22.42,9.67,145,16.11,25.78,25.2,18.07
471911,229,206,893,0.267,49,21.4,23,10.04,0.341,0.485,0.8260000000000001,0.21799999999999997,406,87,21.43,9.74,153,17.13,26.88,29.45,17.88
681867,212,186,887,0.263,39,18.4,18,8.49,0.332,0.366,0.698,0.10299999999999998,398,67,16.83,7.55,151,17.02,24.58,27.92,14.03
