Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,263,60.88,62,48,14,22.58,12,19.35,107,32,29.91,12.17,62,23.57,35.74,17.43,58.02,18.42,0.292,0.426,0.417,0.843,0.125
CU,Curveball,BR,101,23.38,28,26,6,21.43,1,3.57,45,12,26.67,11.88,17,16.83,28.71,27.27,24.43,18.75,0.115,0.179,0.154,0.33299999999999996,0.03899999999999999
ST,Sweeper,BR,34,7.87,8,8,1,12.5,0,0.0,17,4,23.53,11.76,0,0.0,11.76,26.09,10.69,7.14,0.25,0.25,0.625,0.875,0.375
SL,Slider,BR,17,3.94,2,2,0,0.0,0,0.0,5,1,20.0,5.88,1,5.88,11.76,8.33,3.05,0.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,13,3.01,3,3,0,0.0,0,0.0,3,0,0.0,0.0,2,15.38,15.38,14.29,0.76,0.0,0.667,0.667,0.667,1.334,0.0
CH,Changeup,OS,4,0.93,2,2,1,50.0,0,0.0,3,1,33.33,25.0,0,0.0,25.0,0.0,3.05,25.0,0.0,0.0,0.0,0.0,0.0
