Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FC,Cutter,FB,413,32.65,111,101,17,15.32,7,6.31,200,41,20.5,9.93,46,11.14,21.07,18.88,36.34,13.22,0.406,0.436,0.762,1.198,0.356
SI,Sinker,FB,331,26.17,85,70,4,4.71,14,16.47,134,12,8.96,3.63,78,23.56,27.19,21.38,18.32,6.56,0.343,0.452,0.543,0.9950000000000001,0.2
CH,Changeup,OS,262,20.71,69,62,4,5.8,7,10.14,107,16,14.95,6.11,21,8.02,14.12,26.7,19.52,6.15,0.21,0.29,0.29,0.58,0.07999999999999999
ST,Sweeper,BR,238,18.81,53,43,10,18.87,10,18.87,93,19,20.43,7.98,53,22.27,30.25,23.73,21.32,14.08,0.209,0.358,0.349,0.707,0.13999999999999999
FF,4-Seam Fastball,FB,16,1.26,6,5,2,33.33,1,16.67,9,2,22.22,12.5,0,0.0,12.5,30.0,3.9,15.38,0.0,0.167,0.0,0.167,0.0
,,,5,0.4,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.6,0.0,,1.0,,,
