Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,66,39.76,18,16,5,27.78,2,11.11,29,7,24.14,10.61,13,19.7,30.3,21.21,40.91,27.78,0.25,0.333,0.5,0.833,0.25
SI,Sinker,FB,65,39.16,15,10,1,6.67,5,33.33,25,4,16.0,6.15,13,20.0,26.15,16.13,27.27,8.33,0.3,0.533,0.4,0.933,0.10000000000000003
CH,Changeup,OS,29,17.47,7,7,2,28.57,0,0.0,13,2,15.38,6.9,2,6.9,13.79,30.0,27.27,16.67,0.286,0.286,0.286,0.572,0.0
FF,4-Seam Fastball,FB,6,3.61,1,0,0,0.0,1,100.0,0,0,,0.0,1,16.67,16.67,0.0,4.55,0.0,,1.0,,,
