Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,57,45.24,14,12,2,14.29,2,14.29,26,7,26.92,12.28,7,12.28,24.56,12.0,27.78,20.0,0.333,0.429,1.083,1.512,0.75
ST,Sweeper,BR,35,27.78,8,8,4,50.0,0,0.0,17,10,58.82,28.57,2,5.71,34.29,48.15,41.67,26.67,0.25,0.25,0.25,0.5,0.0
CH,Changeup,OS,23,18.25,5,5,1,20.0,0,0.0,14,5,35.71,21.74,4,17.39,39.13,44.44,25.0,11.11,0.2,0.2,0.4,0.6000000000000001,0.2
SI,Sinker,FB,8,6.35,3,3,0,0.0,0,0.0,5,1,20.0,12.5,0,0.0,12.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
SL,Slider,BR,3,2.38,2,2,1,50.0,0,0.0,3,2,66.67,66.67,0,0.0,66.67,100.0,5.56,50.0,0.0,0.0,0.0,0.0,0.0
