Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,610,52.0,154,130,28,18.18,19,12.34,278,55,19.78,9.02,120,19.67,28.69,22.26,43.25,17.83,0.246,0.34,0.385,0.7250000000000001,0.139
CH,Changeup,OS,315,26.85,92,85,22,23.91,5,5.43,172,45,26.16,14.29,38,12.06,26.35,30.87,29.2,20.75,0.165,0.209,0.365,0.574,0.19999999999999998
SL,Slider,BR,177,15.09,41,38,13,31.71,3,7.32,83,26,31.33,14.69,28,15.82,30.51,31.11,15.15,23.64,0.263,0.317,0.474,0.7909999999999999,0.21099999999999997
CU,Curveball,BR,68,5.8,12,12,3,25.0,0,0.0,23,4,17.39,5.88,5,7.35,13.24,17.02,11.85,6.98,0.167,0.167,0.25,0.41700000000000004,0.08299999999999999
,,,2,0.17,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.28,0.0,,1.0,,,
PO,Pitch Out,,1,0.09,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.28,0.0,,,,,
