Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FO,Forkball,OS,320,30.05,106,94,41,38.68,11,10.38,181,74,40.88,23.12,16,5.0,28.12,48.26,58.21,25.15,0.138,0.229,0.181,0.41000000000000003,0.04299999999999998
FF,4-Seam Fastball,FB,316,29.67,72,63,15,20.83,8,11.11,140,34,24.29,10.76,55,17.41,28.16,12.14,30.36,17.65,0.302,0.38,0.635,1.0150000000000001,0.333
FC,Cutter,FB,230,21.6,57,48,1,1.75,8,14.04,97,21,21.65,9.13,52,22.61,31.74,20.0,5.36,6.67,0.292,0.386,0.479,0.865,0.187
ST,Sweeper,BR,91,8.54,11,10,2,18.18,1,9.09,26,6,23.08,6.59,20,21.98,28.57,10.64,3.21,22.22,0.4,0.455,0.9,1.355,0.5
SI,Sinker,FB,72,6.76,13,7,0,0.0,6,46.15,25,4,16.0,5.56,6,8.33,13.89,19.61,1.79,0.0,0.429,0.692,0.429,1.121,0.0
CU,Curveball,BR,20,1.88,1,0,0,0.0,0,0.0,3,3,100.0,15.0,4,20.0,35.0,13.33,0.0,,,1.0,,,
SL,Slider,BR,12,1.13,3,2,0,0.0,1,33.33,4,1,25.0,8.33,0,0.0,8.33,22.22,0.36,0.0,0.0,0.333,0.0,0.333,0.0
,,,2,0.19,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.36,0.0,,1.0,,,
EP,Eephus,,1,0.09,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.36,0.0,,,,,
PO,Pitch Out,,1,0.09,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
