Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
ST,Sweeper,BR,93,35.77,18,16,4,22.22,1,5.56,32,5,15.62,5.38,24,25.81,31.18,20.83,27.03,20.0,0.312,0.333,0.562,0.895,0.25000000000000006
FF,4-Seam Fastball,FB,67,25.77,20,18,6,30.0,2,10.0,34,8,23.53,11.94,5,7.46,19.4,10.0,44.59,18.18,0.278,0.35,0.5,0.85,0.22199999999999998
SI,Sinker,FB,62,23.85,13,13,3,23.08,0,0.0,30,5,16.67,8.06,20,32.26,40.32,30.0,12.16,33.33,0.077,0.077,0.077,0.154,0.0
CH,Changeup,OS,34,13.08,11,10,1,9.09,1,9.09,16,2,12.5,5.88,2,5.88,11.76,20.0,16.22,8.33,0.0,0.091,0.0,0.091,0.0
,,,4,1.54,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
