Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,332,47.03,86,79,16,18.6,7,8.14,175,41,23.43,12.35,71,21.39,33.73,30.77,37.67,19.75,0.278,0.337,0.329,0.666,0.05099999999999999
CH,Changeup,OS,202,28.61,55,53,11,20.0,2,3.64,96,24,25.0,11.88,14,6.93,18.81,34.81,35.81,14.29,0.283,0.309,0.509,0.8180000000000001,0.22600000000000003
ST,Sweeper,BR,92,13.03,22,19,4,18.18,3,13.64,45,9,20.0,9.78,14,15.22,25.0,34.88,10.23,18.18,0.316,0.409,0.316,0.725,0.0
CU,Curveball,BR,79,11.19,13,11,6,46.15,0,0.0,21,7,33.33,8.86,16,20.25,29.11,24.07,16.28,17.14,0.091,0.154,0.182,0.33599999999999997,0.091
PO,Pitch Out,,1,0.14,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
