Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
CU,Curveball,BR,345,24.63,73,67,19,26.03,5,6.85,149,38,25.5,11.01,73,21.16,32.17,32.98,27.79,17.76,0.254,0.315,0.388,0.7030000000000001,0.134
FF,4-Seam Fastball,FB,330,23.55,81,68,5,6.17,11,13.58,124,13,10.48,3.94,71,21.52,25.45,13.64,18.18,7.14,0.294,0.4,0.603,1.0030000000000001,0.309
FC,Cutter,FB,205,14.63,65,54,25,38.46,8,12.31,95,28,29.47,13.66,29,14.15,27.8,25.0,19.74,32.89,0.296,0.391,0.556,0.9470000000000001,0.26000000000000006
CH,Changeup,OS,186,13.28,54,54,6,11.11,0,0.0,98,19,19.39,10.22,19,10.22,20.43,29.47,10.91,14.29,0.315,0.315,0.574,0.889,0.25899999999999995
SI,Sinker,FB,138,9.85,43,40,6,13.95,2,4.65,71,9,12.68,6.52,24,17.39,23.91,22.45,10.39,15.0,0.225,0.279,0.6,0.879,0.375
SV,Slurve,BR,96,6.85,22,18,2,9.09,3,13.64,35,7,20.0,7.29,25,26.04,33.33,24.44,5.19,10.0,0.167,0.318,0.389,0.7070000000000001,0.222
CS,Slow Curve,BR,46,3.28,13,13,3,23.08,0,0.0,26,5,19.23,10.87,3,6.52,17.39,25.0,3.9,20.0,0.308,0.308,0.385,0.6930000000000001,0.07700000000000001
SL,Slider,BR,32,2.28,6,5,1,16.67,1,16.67,8,1,12.5,3.12,4,12.5,15.62,0.0,2.86,9.09,0.0,0.167,0.0,0.167,0.0
ST,Sweeper,BR,18,1.28,5,4,0,0.0,0,0.0,5,0,0.0,0.0,4,22.22,22.22,10.0,0.78,0.0,0.5,0.6,0.5,1.1,0.0
FS,Split-Finger,OS,4,0.29,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
,,,1,0.07,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
