Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,129,51.39,29,28,9,31.03,1,3.45,65,22,33.85,17.05,21,16.28,33.33,25.93,46.38,28.12,0.25,0.276,0.5,0.776,0.25
CH,Changeup,OS,92,36.65,24,23,5,20.83,1,4.17,43,17,39.53,18.48,9,9.78,28.26,26.42,42.03,17.24,0.087,0.125,0.13,0.255,0.04300000000000001
CU,Curveball,BR,16,6.37,3,3,0,0.0,0,0.0,7,1,14.29,6.25,4,25.0,31.25,0.0,2.9,0.0,0.333,0.333,0.333,0.666,0.0
SL,Slider,BR,14,5.58,5,5,2,40.0,0,0.0,5,1,20.0,7.14,4,28.57,35.71,16.67,8.7,33.33,0.0,0.0,0.0,0.0,0.0
