Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,30,35.29,5,2,1,20.0,3,60.0,2,1,50.0,3.33,13,43.33,46.67,6.25,12.5,50.0,0.0,0.6,0.0,0.6,0.0
FF,4-Seam Fastball,FB,18,21.18,4,2,0,0.0,2,50.0,5,0,0.0,0.0,4,22.22,22.22,0.0,18.75,0.0,1.0,1.0,2.5,3.5,1.5
SL,Slider,BR,16,18.82,3,3,2,66.67,0,0.0,2,1,50.0,6.25,6,37.5,43.75,20.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0
CU,Curveball,BR,7,8.24,3,3,1,33.33,0,0.0,4,0,0.0,0.0,0,0.0,0.0,25.0,12.5,50.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,6,7.06,1,1,0,0.0,0,0.0,3,0,0.0,0.0,1,16.67,16.67,33.33,6.25,0.0,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,4,4.71,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,12.5,0.0,,,,,
SV,Slurve,BR,2,2.35,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,50.0,50.0,,6.25,0.0,1.0,1.0,2.0,3.0,1.0
CH,Changeup,OS,1,1.18,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,1,1.18,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,1.0,,,
