Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,62,41.89,16,14,7,43.75,2,12.5,32,13,40.62,20.97,7,11.29,32.26,25.0,40.82,35.0,0.143,0.25,0.357,0.607,0.214
CU,Curveball,BR,22,14.86,6,6,3,50.0,0,0.0,13,6,46.15,27.27,5,22.73,50.0,44.44,12.24,50.0,0.0,0.0,0.0,0.0,0.0
SI,Sinker,FB,15,10.14,3,1,0,0.0,2,66.67,5,2,40.0,13.33,1,6.67,20.0,20.0,12.24,0.0,0.0,0.667,0.0,0.667,0.0
CH,Changeup,OS,12,8.11,2,2,0,0.0,0,0.0,7,3,42.86,25.0,1,8.33,33.33,33.33,2.04,0.0,1.0,1.0,1.0,2.0,0.0
ST,Sweeper,BR,11,7.43,3,3,2,66.67,0,0.0,7,4,57.14,36.36,0,0.0,36.36,50.0,10.2,40.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,10,6.76,3,3,1,33.33,0,0.0,5,2,40.0,20.0,1,10.0,30.0,20.0,4.08,50.0,0.667,0.667,2.667,3.3339999999999996,1.9999999999999998
SL,Slider,BR,7,4.73,2,1,0,0.0,0,0.0,4,0,0.0,0.0,0,0.0,0.0,33.33,8.16,0.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,4,2.7,1,1,0,0.0,0,0.0,3,1,33.33,25.0,0,0.0,25.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,3,2.03,1,1,1,100.0,0,0.0,1,1,100.0,33.33,1,33.33,66.67,50.0,4.08,50.0,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,2,1.35,1,1,1,100.0,0,0.0,2,1,50.0,50.0,0,0.0,50.0,100.0,2.04,100.0,0.0,0.0,0.0,0.0,0.0
