Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,179,28.73,43,34,8,18.6,9,20.93,69,9,13.04,5.03,40,22.35,27.37,21.84,30.99,15.09,0.324,0.465,0.382,0.847,0.057999999999999996
CH,Changeup,OS,102,16.37,23,21,5,21.74,2,8.7,43,17,39.53,16.67,19,18.63,35.29,34.85,18.13,16.13,0.333,0.391,0.524,0.915,0.191
SI,Sinker,FB,97,15.57,18,14,0,0.0,3,16.67,28,2,7.14,2.06,31,31.96,34.02,11.63,13.45,0.0,0.357,0.444,0.571,1.015,0.21399999999999997
SL,Slider,BR,77,12.36,22,16,4,18.18,5,22.73,27,13,48.15,16.88,15,19.48,36.36,21.43,11.7,20.0,0.312,0.5,0.375,0.875,0.063
FC,Cutter,FB,51,8.19,15,12,3,20.0,3,20.0,20,3,15.0,5.88,10,19.61,25.49,14.29,7.02,25.0,0.25,0.4,0.333,0.7330000000000001,0.08300000000000002
CU,Curveball,BR,44,7.06,7,5,0,0.0,2,28.57,9,1,11.11,2.27,10,22.73,25.0,11.11,3.51,0.0,0.2,0.429,0.2,0.629,0.0
ST,Sweeper,BR,34,5.46,9,5,2,22.22,1,11.11,12,4,33.33,11.76,3,8.82,20.59,10.0,8.19,14.29,0.4,0.667,0.6,1.267,0.19999999999999996
FS,Split-Finger,OS,14,2.25,2,2,0,0.0,0,0.0,4,1,25.0,7.14,2,14.29,21.43,0.0,1.75,0.0,0.5,0.5,0.5,1.0,0.0
KC,Knuckle Curve,BR,12,1.93,3,2,1,33.33,0,0.0,2,1,50.0,8.33,3,25.0,33.33,11.11,3.51,16.67,0.0,0.333,0.0,0.333,0.0
SV,Slurve,BR,7,1.12,1,1,0,0.0,0,0.0,2,0,0.0,0.0,1,14.29,14.29,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0
,,,6,0.96,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.58,0.0,,1.0,,,
