Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,137,36.15,34,33,10,29.41,1,2.94,77,15,19.48,10.95,20,14.6,25.55,18.37,36.76,20.0,0.242,0.265,0.485,0.75,0.243
SI,Sinker,FB,56,14.78,15,13,5,33.33,2,13.33,28,8,28.57,14.29,9,16.07,30.36,15.38,11.76,31.25,0.154,0.267,0.385,0.652,0.231
CH,Changeup,OS,54,14.25,16,15,4,25.0,1,6.25,31,7,22.58,12.96,4,7.41,20.37,45.45,12.5,23.53,0.133,0.188,0.133,0.321,0.0
SL,Slider,BR,41,10.82,12,9,4,33.33,3,25.0,17,7,41.18,17.07,6,14.63,31.71,32.14,15.44,19.05,0.444,0.583,1.111,1.694,0.667
CU,Curveball,BR,33,8.71,8,8,3,37.5,0,0.0,20,6,30.0,18.18,3,9.09,27.27,42.11,10.29,21.43,0.25,0.25,0.25,0.5,0.0
FC,Cutter,FB,26,6.86,6,5,2,33.33,1,16.67,12,2,16.67,7.69,8,30.77,38.46,37.5,5.88,25.0,0.2,0.333,0.4,0.7330000000000001,0.2
ST,Sweeper,BR,19,5.01,2,2,0,0.0,0,0.0,9,3,33.33,15.79,4,21.05,36.84,37.5,5.15,0.0,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,6,1.58,0,0,0,,0,,1,0,0.0,0.0,1,16.67,16.67,20.0,2.21,0.0,,,,,
FS,Split-Finger,OS,5,1.32,0,0,0,,0,,2,2,100.0,40.0,1,20.0,60.0,0.0,0.0,,,,,,
CS,Slow Curve,BR,1,0.26,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
SV,Slurve,BR,1,0.26,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
