Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,213,25.0,58,54,12,20.69,4,6.9,124,46,37.1,21.6,13,6.1,27.7,40.62,25.7,16.44,0.222,0.276,0.407,0.683,0.18499999999999997
FF,4-Seam Fastball,FB,201,23.59,42,36,12,28.57,5,11.9,107,30,28.04,14.93,18,8.96,23.88,25.49,24.65,17.14,0.361,0.452,0.833,1.285,0.472
SI,Sinker,FB,145,17.02,45,39,4,8.89,6,13.33,83,15,18.07,10.34,22,15.17,25.52,37.29,11.27,12.5,0.205,0.311,0.256,0.567,0.05100000000000002
ST,Sweeper,BR,129,15.14,33,31,8,24.24,2,6.06,76,32,42.11,24.81,6,4.65,29.46,42.5,17.25,16.33,0.323,0.364,0.548,0.912,0.22500000000000003
CU,Curveball,BR,71,8.33,23,22,9,39.13,1,4.35,48,22,45.83,30.99,3,4.23,35.21,58.7,9.51,33.33,0.227,0.261,0.273,0.534,0.04600000000000001
FC,Cutter,FB,39,4.58,13,12,0,0.0,1,7.69,28,7,25.0,17.95,1,2.56,20.51,50.0,3.52,0.0,0.333,0.385,0.667,1.052,0.334
CH,Changeup,OS,30,3.52,10,10,3,30.0,0,0.0,20,7,35.0,23.33,1,3.33,26.67,47.37,5.99,17.65,0.5,0.5,0.7,1.2,0.19999999999999996
KC,Knuckle Curve,BR,12,1.41,3,3,1,33.33,0,0.0,7,4,57.14,33.33,0,0.0,33.33,37.5,1.06,33.33,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,8,0.94,1,1,1,100.0,0,0.0,5,5,100.0,62.5,0,0.0,62.5,57.14,0.7,50.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,2,0.23,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,0.0,0.35,0.0,,,,,
KN,Knuckleball,,1,0.12,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
,,,1,0.12,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
