Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,92,32.86,29,25,3,10.34,3,10.34,50,7,14.0,7.61,15,16.3,23.91,9.38,34.78,9.38,0.24,0.321,0.24,0.5609999999999999,0.0
FC,Cutter,FB,45,16.07,7,7,3,42.86,0,0.0,23,7,30.43,15.56,10,22.22,37.78,6.25,17.39,18.75,0.0,0.0,0.0,0.0,0.0
CH,Changeup,OS,40,14.29,12,12,5,41.67,0,0.0,23,9,39.13,22.5,2,5.0,27.5,40.0,18.48,29.41,0.083,0.083,0.083,0.166,0.0
SI,Sinker,FB,35,12.5,12,12,2,16.67,0,0.0,17,2,11.76,5.71,11,31.43,37.14,25.0,6.52,33.33,0.25,0.25,0.417,0.667,0.16699999999999998
SL,Slider,BR,30,10.71,9,8,4,44.44,1,11.11,15,8,53.33,26.67,7,23.33,50.0,27.27,8.7,50.0,0.375,0.444,0.75,1.194,0.375
ST,Sweeper,BR,17,6.07,0,0,0,,0,,5,2,40.0,11.76,2,11.76,23.53,9.09,7.61,0.0,,,,,
CU,Curveball,BR,14,5.0,4,4,2,50.0,0,0.0,4,2,50.0,14.29,2,14.29,28.57,18.18,6.52,33.33,0.25,0.25,0.25,0.5,0.0
FS,Split-Finger,OS,4,1.43,0,0,0,,0,,0,0,,0.0,1,25.0,25.0,0.0,0.0,,,,,,
KC,Knuckle Curve,BR,2,0.71,0,0,0,,0,,0,0,,0.0,2,100.0,100.0,,0.0,,,,,,
SV,Slurve,BR,1,0.36,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,,0.0,,,,,,
