Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,557,42.42,125,107,17,13.6,14,11.2,264,46,17.42,8.26,90,16.16,24.42,24.18,35.96,10.62,0.336,0.419,0.533,0.952,0.197,434378
SL,Slider,BR,325,24.75,96,88,29,30.21,7,7.29,201,64,31.84,19.69,27,8.31,28.0,35.17,34.83,18.71,0.205,0.26,0.33,0.5900000000000001,0.125,434378
CU,Curveball,BR,200,15.23,39,34,10,25.64,4,10.26,72,20,27.78,10.0,66,33.0,43.0,28.74,12.81,17.54,0.353,0.41,0.5,0.91,0.147,434378
CH,Changeup,OS,185,14.09,45,40,7,15.56,5,11.11,78,25,32.05,13.51,26,14.05,27.57,21.9,11.46,13.73,0.2,0.289,0.25,0.5389999999999999,0.0499999999999999,434378
ST,Sweeper,BR,40,3.05,14,13,5,35.71,0,0.0,21,5,23.81,12.5,4,10.0,22.5,23.53,4.94,22.73,0.0,0.0,0.0,0.0,0.0,434378
,,,4,0.3,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,434378
SI,Sinker,FB,2,0.15,0,0,0,,0,,2,2,100.0,100.0,0,0.0,100.0,,0.0,,,,,,,434378
FC,Cutter,FB,344,76.96,91,77,13,14.29,12,13.19,177,44,24.86,12.79,56,16.28,29.07,19.58,55.08,20.0,0.169,0.278,0.312,0.5900000000000001,0.143,445276
SI,Sinker,FB,58,12.98,18,16,8,44.44,2,11.11,28,13,46.43,22.41,3,5.17,27.59,39.53,30.51,22.22,0.312,0.389,0.562,0.951,0.25,445276
SL,Slider,BR,23,5.15,9,9,3,33.33,0,0.0,18,4,22.22,17.39,1,4.35,21.74,62.5,11.02,23.08,0.222,0.222,0.222,0.444,0.0,445276
ST,Sweeper,BR,14,3.13,4,4,0,0.0,0,0.0,7,0,0.0,0.0,0,0.0,0.0,14.29,3.39,0.0,0.75,0.75,2.0,2.75,1.25,445276
,,,8,1.79,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,445276
FC,Cutter,FB,29,42.65,4,3,0,0.0,1,25.0,9,2,22.22,6.9,9,31.03,37.93,14.29,7.69,0.0,0.333,0.5,0.333,0.833,0.0,445926
CH,Changeup,OS,18,26.47,7,5,2,28.57,2,28.57,7,3,42.86,16.67,2,11.11,27.78,40.0,46.15,33.33,0.6,0.714,1.2,1.914,0.6,445926
SI,Sinker,FB,17,25.0,5,4,1,20.0,1,20.0,6,0,0.0,0.0,3,17.65,17.65,10.0,38.46,20.0,0.5,0.6,1.25,1.85,0.75,445926
CU,Curveball,BR,3,4.41,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,33.33,7.69,0.0,,,,,,445926
SL,Slider,BR,1,1.47,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,1.0,1.0,2.0,3.0,1.0,445926
FF,4-Seam Fastball,FB,16,40.0,3,2,1,33.33,1,33.33,3,1,33.33,6.25,2,12.5,18.75,18.18,25.0,50.0,0.0,0.333,0.0,0.333,0.0,448179
ST,Sweeper,BR,8,20.0,4,3,0,0.0,1,25.0,3,0,0.0,0.0,1,12.5,12.5,0.0,50.0,0.0,0.0,0.25,0.0,0.25,0.0,448179
CU,Curveball,BR,6,15.0,1,1,0,0.0,0,0.0,5,4,80.0,66.67,0,0.0,66.67,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,448179
SI,Sinker,FB,6,15.0,3,3,1,33.33,0,0.0,3,0,0.0,0.0,2,33.33,33.33,66.67,25.0,50.0,0.333,0.333,0.667,1.0,0.334,448179
FC,Cutter,FB,4,10.0,0,0,0,,0,,1,0,0.0,0.0,1,25.0,25.0,0.0,0.0,,,,,,,448179
CU,Curveball,BR,582,41.78,160,135,57,35.62,13,8.12,294,112,38.1,19.24,98,16.84,36.08,37.18,56.67,23.53,0.222,0.331,0.348,0.679,0.1259999999999999,450203
FF,4-Seam Fastball,FB,428,30.73,90,69,18,20.0,17,18.89,183,35,19.13,8.18,58,13.55,21.73,18.67,31.9,13.43,0.261,0.404,0.58,0.984,0.3189999999999999,450203
CH,Changeup,OS,195,14.0,48,38,4,8.33,6,12.5,99,29,29.29,14.87,15,7.69,22.56,31.97,5.71,16.67,0.368,0.435,0.632,1.067,0.264,450203
SI,Sinker,FB,94,6.75,33,28,6,18.18,4,12.12,46,5,10.87,5.32,17,18.09,23.4,9.09,5.24,27.27,0.214,0.312,0.286,0.598,0.0719999999999999,450203
FC,Cutter,FB,85,6.1,12,10,0,0.0,1,8.33,37,7,18.92,8.24,21,24.71,32.94,17.14,0.48,0.0,0.4,0.455,0.5,0.955,0.0999999999999999,450203
,,,9,0.65,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,450203
FF,4-Seam Fastball,FB,372,49.14,92,87,14,15.22,5,5.43,192,31,16.15,8.33,63,16.94,25.27,23.49,35.93,16.87,0.253,0.293,0.552,0.845,0.299,453286
CH,Changeup,OS,136,17.97,34,31,6,17.65,3,8.82,57,10,17.54,7.35,16,11.76,19.12,24.73,22.94,11.32,0.258,0.324,0.419,0.743,0.1609999999999999,453286
SL,Slider,BR,113,14.93,34,33,11,32.35,1,2.94,76,15,19.74,13.27,12,10.62,23.89,45.45,25.54,18.64,0.242,0.265,0.636,0.901,0.394,453286
CU,Curveball,BR,112,14.8,34,31,6,17.65,3,8.82,46,6,13.04,5.36,32,28.57,33.93,25.49,12.55,20.69,0.29,0.353,0.581,0.934,0.291,453286
FC,Cutter,FB,22,2.91,4,4,0,0.0,0,0.0,10,1,10.0,4.55,2,9.09,13.64,18.18,2.16,0.0,0.25,0.25,0.5,0.75,0.25,453286
,,,2,0.26,2,1,1,50.0,1,50.0,0,0,,0.0,0,0.0,0.0,,0.87,50.0,0.0,0.5,0.0,0.5,0.0,453286
FC,Cutter,FB,99,37.22,22,20,7,31.82,2,9.09,52,19,36.54,19.19,14,14.14,33.33,27.27,35.06,25.93,0.2,0.273,0.35,0.623,0.1499999999999999,455119
FF,4-Seam Fastball,FB,82,30.83,22,20,5,22.73,2,9.09,37,6,16.22,7.32,19,23.17,30.49,16.13,37.66,17.24,0.3,0.364,0.5,0.864,0.2,455119
FS,Split-Finger,OS,65,24.44,20,19,3,15.0,0,0.0,37,7,18.92,10.77,4,6.15,16.92,37.84,24.68,15.79,0.263,0.25,0.263,0.513,0.0,455119
,,,9,3.38,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,455119
SI,Sinker,FB,6,2.26,1,1,0,0.0,0,0.0,1,0,0.0,0.0,2,33.33,33.33,0.0,0.0,,1.0,1.0,2.0,3.0,1.0,455119
ST,Sweeper,BR,5,1.88,2,2,0,0.0,0,0.0,3,0,0.0,0.0,1,20.0,20.0,50.0,2.6,0.0,0.5,0.5,0.5,1.0,0.0,455119
FF,4-Seam Fastball,FB,203,51.79,41,31,10,24.39,7,17.07,97,28,28.87,13.79,34,16.75,30.54,23.33,42.45,22.22,0.194,0.35,0.355,0.705,0.1609999999999999,458677
SL,Slider,BR,125,31.89,43,43,14,32.56,0,0.0,62,20,32.26,16.0,15,12.0,28.0,31.88,52.83,25.0,0.209,0.209,0.233,0.442,0.024,458677
FC,Cutter,FB,61,15.56,13,11,1,7.69,2,15.38,27,5,18.52,8.2,10,16.39,24.59,25.71,2.83,33.33,0.273,0.385,0.273,0.658,0.0,458677
,,,2,0.51,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.94,0.0,,,,,,458677
FS,Split-Finger,OS,1,0.26,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.94,0.0,,,,,,458677
CH,Changeup,OS,128,27.89,38,35,9,23.68,2,5.26,67,19,28.36,14.84,5,3.91,18.75,35.63,54.29,15.79,0.2,0.237,0.2,0.437,0.0,471911
FF,4-Seam Fastball,FB,128,27.89,37,32,2,5.41,4,10.81,60,5,8.33,3.91,15,11.72,15.62,9.68,18.1,10.53,0.406,0.459,0.688,1.147,0.2819999999999999,471911
SI,Sinker,FB,83,18.08,37,32,2,5.41,5,13.51,47,5,10.64,6.02,13,15.66,21.69,17.86,14.29,13.33,0.344,0.432,0.594,1.026,0.25,471911
CU,Curveball,BR,67,14.6,5,5,0,0.0,0,0.0,17,5,29.41,7.46,15,22.39,29.85,16.67,4.76,0.0,0.6,0.6,1.0,1.6,0.4,471911
SL,Slider,BR,52,11.33,9,9,3,33.33,0,0.0,15,3,20.0,5.77,15,28.85,34.62,4.55,7.62,37.5,0.333,0.333,0.556,0.889,0.223,471911
ST,Sweeper,BR,1,0.22,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.95,0.0,,,,,,471911
FS,Split-Finger,OS,189,45.87,47,44,12,25.53,2,4.26,103,30,29.13,15.87,9,4.76,20.63,36.59,59.84,15.79,0.205,0.234,0.25,0.484,0.045,472610
SI,Sinker,FB,138,33.5,40,33,6,15.0,6,15.0,66,7,10.61,5.07,28,20.29,25.36,17.31,23.62,20.0,0.394,0.487,0.455,0.942,0.061,472610
ST,Sweeper,BR,53,12.86,4,4,2,50.0,0,0.0,24,5,20.83,9.43,9,16.98,26.42,14.29,12.6,12.5,0.0,0.0,0.0,0.0,0.0,472610
,,,18,4.37,5,0,0,0.0,5,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,472610
FF,4-Seam Fastball,FB,14,3.4,6,5,0,0.0,1,16.67,9,0,0.0,0.0,2,14.29,14.29,50.0,3.94,0.0,0.0,0.167,0.0,0.167,0.0,472610
FC,Cutter,FB,21,51.22,5,2,0,0.0,3,60.0,6,1,16.67,4.76,5,23.81,28.57,0.0,28.57,0.0,0.5,0.8,0.5,1.3,0.0,476594
SI,Sinker,FB,10,24.39,0,0,0,,0,,1,1,100.0,10.0,2,20.0,30.0,0.0,0.0,,,,,,,476594
FF,4-Seam Fastball,FB,4,9.76,1,0,0,0.0,1,100.0,0,0,,0.0,1,25.0,25.0,0.0,42.86,0.0,,1.0,,,,476594
CH,Changeup,OS,3,7.32,1,1,0,0.0,0,0.0,2,1,50.0,33.33,0,0.0,33.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,476594
ST,Sweeper,BR,3,7.32,2,2,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,28.57,0.0,0.5,0.5,0.5,1.0,0.0,476594
SL,Slider,BR,164,45.56,50,46,7,14.0,4,8.0,88,24,27.27,14.63,18,10.98,25.61,35.56,51.14,15.56,0.261,0.32,0.326,0.646,0.065,477132
FF,4-Seam Fastball,FB,135,37.5,28,24,3,10.71,3,10.71,50,5,10.0,3.7,32,23.7,27.41,7.14,19.32,17.65,0.292,0.393,0.458,0.851,0.166,477132
CU,Curveball,BR,53,14.72,11,11,4,36.36,0,0.0,19,8,42.11,15.09,11,20.75,35.85,22.22,23.86,19.05,0.182,0.182,0.273,0.455,0.091,477132
SI,Sinker,FB,8,2.22,5,5,2,40.0,0,0.0,4,0,0.0,0.0,3,37.5,37.5,0.0,5.68,40.0,0.4,0.4,0.8,1.2000000000000002,0.4,477132
SI,Sinker,FB,26,45.61,8,8,1,12.5,0,0.0,15,2,13.33,7.69,4,15.38,23.08,50.0,47.37,11.11,0.0,0.0,0.0,0.0,0.0,489119
FC,Cutter,FB,14,24.56,3,3,0,0.0,0,0.0,8,0,0.0,0.0,4,28.57,28.57,0.0,5.26,0.0,0.333,0.333,0.333,0.666,0.0,489119
FF,4-Seam Fastball,FB,7,12.28,2,2,0,0.0,0,0.0,4,0,0.0,0.0,1,14.29,14.29,50.0,21.05,0.0,0.5,0.5,0.5,1.0,0.0,489119
ST,Sweeper,BR,6,10.53,2,2,1,50.0,0,0.0,2,1,50.0,16.67,1,16.67,33.33,0.0,10.53,50.0,0.0,0.0,0.0,0.0,0.0,489119
SL,Slider,BR,2,3.51,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,0.0,5.26,0.0,,,,,,489119
CU,Curveball,BR,1,1.75,1,0,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,5.26,0.0,,,,,,489119
CH,Changeup,OS,1,1.75,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,100.0,5.26,0.0,,,,,,489119
FF,4-Seam Fastball,FB,154,57.46,34,28,9,26.47,5,14.71,78,27,34.62,17.53,27,17.53,35.06,17.54,53.95,19.51,0.179,0.294,0.571,0.865,0.3919999999999999,489446
FS,Split-Finger,OS,114,42.54,34,34,7,20.59,0,0.0,61,15,24.59,13.16,4,3.51,16.67,34.67,46.05,20.0,0.324,0.324,0.735,1.059,0.411,489446
ST,Sweeper,BR,8,50.0,1,0,0,0.0,1,100.0,1,1,100.0,12.5,4,50.0,62.5,25.0,33.33,0.0,,1.0,,,,493603
FF,4-Seam Fastball,FB,5,31.25,1,1,1,100.0,0,0.0,1,1,100.0,20.0,0,0.0,20.0,0.0,50.0,33.33,0.0,0.0,0.0,0.0,0.0,493603
SI,Sinker,FB,3,18.75,1,0,0,0.0,1,100.0,0,0,,0.0,1,33.33,33.33,0.0,16.67,0.0,,1.0,,,,493603
EP,Eephus,,19,76.0,10,9,0,0.0,1,10.0,11,0,0.0,0.0,2,10.53,10.53,46.15,100.0,0.0,0.556,0.6,1.222,1.822,0.6659999999999999,500743
