mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
656941,253,207,1117,0.188,87,34.39,41,16.21,0.328,0.43,0.758,0.242,412,132,32.04,11.82,235,21.04,32.86,21.61,24.51
607043,236,213,973,0.286,48,20.34,14,5.93,0.345,0.404,0.749,0.11800000000000005,425,102,24.0,10.48,208,21.38,31.86,21.45,15.14
663656,238,210,882,0.3,28,11.76,22,9.24,0.367,0.567,0.9339999999999999,0.26699999999999996,408,61,14.95,6.92,135,15.31,22.22,21.1,12.02
663993,219,193,880,0.223,52,23.74,24,10.96,0.311,0.332,0.643,0.10900000000000001,384,87,22.66,9.89,160,18.18,28.07,24.2,19.48
680757,224,200,872,0.26,23,10.27,20,8.93,0.327,0.34,0.667,0.08000000000000002,358,48,13.41,5.5,187,21.44,26.95,22.3,10.5
608070,230,210,860,0.243,25,10.87,19,8.26,0.304,0.462,0.766,0.21900000000000003,386,62,16.06,7.21,136,15.81,23.02,28.33,12.18
518692,218,197,840,0.335,40,18.35,15,6.88,0.399,0.609,1.008,0.27399999999999997,441,95,21.54,11.31,93,11.07,22.38,26.41,16.0
608324,216,186,839,0.215,20,9.26,27,12.5,0.319,0.376,0.6950000000000001,0.161,330,43,13.03,5.13,160,19.07,24.2,22.25,9.57
665742,207,172,829,0.256,48,23.19,33,15.94,0.377,0.436,0.813,0.18,316,80,25.32,9.65,170,20.51,30.16,20.61,20.17
668939,191,158,817,0.304,21,10.99,31,16.23,0.414,0.481,0.895,0.177,321,40,12.46,4.9,168,20.56,25.46,20.79,8.71
673490,191,169,815,0.302,30,15.71,20,10.47,0.376,0.521,0.897,0.21900000000000003,341,54,15.84,6.63,181,22.21,28.83,23.47,11.49
656582,193,166,806,0.265,40,20.73,23,11.92,0.368,0.452,0.8200000000000001,0.187,311,80,25.72,9.93,172,21.34,31.27,18.27,17.32
641487,193,165,805,0.267,41,21.24,27,13.99,0.373,0.382,0.755,0.11499999999999999,317,62,19.56,7.7,162,20.12,27.83,20.15,17.67
607208,209,188,802,0.229,41,19.62,16,7.66,0.295,0.426,0.721,0.19699999999999998,407,127,31.2,15.84,97,12.09,27.93,33.41,17.98
596019,204,185,794,0.281,35,17.16,15,7.35,0.343,0.573,0.9159999999999999,0.2919999999999999,366,75,20.49,9.45,127,15.99,25.44,24.88,16.36
664023,191,169,787,0.225,44,23.04,19,9.95,0.309,0.385,0.694,0.16,366,88,24.04,11.18,123,15.63,26.81,29.29,17.32
668804,202,193,779,0.285,44,21.78,8,3.96,0.312,0.415,0.727,0.13,389,105,26.99,13.48,105,13.48,26.96,28.29,18.57
624413,183,156,771,0.224,42,22.95,21,11.48,0.333,0.526,0.859,0.30200000000000005,337,86,25.52,11.15,135,17.51,28.66,27.34,16.87
605137,186,162,760,0.265,41,22.04,24,12.9,0.36,0.494,0.854,0.22899999999999998,369,105,28.46,13.82,98,12.89,26.71,26.88,18.81
547989,179,162,758,0.235,36,20.11,15,8.38,0.296,0.444,0.74,0.20900000000000002,369,73,19.78,9.63,136,17.94,27.57,34.21,14.69
641857,178,162,757,0.191,57,32.02,16,8.99,0.264,0.309,0.573,0.118,352,124,35.23,16.38,126,16.64,33.03,25.79,24.15
543760,210,187,748,0.283,33,15.71,20,9.52,0.362,0.439,0.8009999999999999,0.15600000000000003,353,64,18.13,8.56,112,14.97,23.53,20.61,16.58
665926,197,179,743,0.268,26,13.2,8,4.06,0.328,0.385,0.7130000000000001,0.11699999999999999,402,95,23.63,12.79,112,15.07,27.86,41.69,11.02
527038,182,165,742,0.303,28,15.38,14,7.69,0.359,0.527,0.886,0.22400000000000003,328,56,17.07,7.55,157,21.16,28.71,29.47,12.17
646240,188,172,741,0.273,37,19.68,11,5.85,0.335,0.488,0.823,0.21499999999999997,393,109,27.74,14.71,86,11.61,26.32,30.93,15.19
606466,199,179,736,0.313,24,12.06,17,8.54,0.382,0.497,0.879,0.184,369,73,19.78,9.92,95,12.91,22.83,31.78,12.7
621566,182,163,733,0.252,52,28.57,14,7.69,0.308,0.491,0.7989999999999999,0.239,354,110,31.07,15.01,109,14.87,29.88,27.47,21.94
641355,183,166,732,0.337,29,15.85,13,7.1,0.388,0.596,0.984,0.25899999999999995,360,72,20.0,9.84,128,17.49,27.32,33.33,11.98
605141,184,150,732,0.3,22,11.96,30,16.3,0.424,0.673,1.097,0.37300000000000005,260,34,13.08,4.64,152,20.77,25.41,13.65,12.72
608841,188,175,730,0.291,33,17.55,10,5.32,0.337,0.434,0.771,0.14300000000000002,359,83,23.12,11.37,118,16.16,27.53,33.86,14.29
668715,180,160,727,0.312,33,18.33,17,9.44,0.378,0.55,0.928,0.23800000000000004,340,71,20.88,9.77,129,17.74,27.51,26.97,14.47
657041,192,178,724,0.331,33,17.19,13,6.77,0.375,0.573,0.948,0.24199999999999994,317,47,14.83,6.49,133,18.37,24.86,23.4,17.65
