Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,178,44.39,40,32,10,25.0,7,17.5,79,17,21.52,9.55,30,16.85,26.4,10.26,44.26,18.52,0.312,0.425,0.438,0.863,0.126,408234
CH,Changeup,OS,69,17.21,18,17,6,33.33,1,5.56,26,9,34.62,13.04,12,17.39,30.43,23.26,18.03,27.27,0.353,0.389,0.353,0.742,0.0,408234
SI,Sinker,FB,62,15.46,17,15,1,5.88,2,11.76,30,4,13.33,6.45,10,16.13,22.58,25.93,10.66,7.69,0.133,0.235,0.133,0.368,0.0,408234
SL,Slider,BR,35,8.73,8,7,2,25.0,1,12.5,21,6,28.57,17.14,8,22.86,40.0,57.14,9.84,16.67,0.286,0.375,0.429,0.804,0.143,408234
ST,Sweeper,BR,19,4.74,3,2,0,0.0,0,0.0,6,0,0.0,0.0,6,31.58,31.58,30.0,5.74,0.0,0.5,0.667,1.0,1.667,0.5,408234
CU,Curveball,BR,16,3.99,5,5,1,20.0,0,0.0,6,1,16.67,6.25,2,12.5,18.75,11.11,6.56,12.5,0.2,0.2,0.2,0.4,0.0,408234
FC,Cutter,FB,16,3.99,6,6,2,33.33,0,0.0,7,2,28.57,12.5,3,18.75,31.25,25.0,4.1,40.0,0.167,0.167,0.167,0.334,0.0,408234
KC,Knuckle Curve,BR,6,1.5,2,2,1,50.0,0,0.0,1,0,0.0,0.0,2,33.33,33.33,25.0,0.82,100.0,0.0,0.0,0.0,0.0,0.0,408234
FC,Cutter,FB,1,50.0,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,,,0.0,0.0,0.0,0.0,0.0,425794
FF,4-Seam Fastball,FB,1,50.0,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,100.0,,,,,,,,425794
FF,4-Seam Fastball,FB,115,32.95,24,22,4,16.67,2,8.33,46,12,26.09,10.43,31,26.96,37.39,23.08,26.92,14.29,0.318,0.375,0.545,0.92,0.227,443558
CH,Changeup,OS,71,20.34,17,17,9,52.94,0,0.0,39,24,61.54,33.8,4,5.63,39.44,43.14,21.15,40.91,0.118,0.118,0.118,0.236,0.0,443558
