Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,340,34.59,94,82,14,14.89,11,11.7,173,37,21.39,10.88,49,14.41,25.29,24.36,29.24,17.28,0.305,0.383,0.488,0.871,0.183,408234
SI,Sinker,FB,200,20.35,57,53,6,10.53,4,7.02,93,8,8.6,4.0,45,22.5,26.5,25.61,14.44,15.0,0.17,0.228,0.17,0.398,0.0,408234
SL,Slider,BR,169,17.19,45,42,12,26.67,2,4.44,91,37,40.66,21.89,22,13.02,34.91,39.78,23.1,18.75,0.31,0.333,0.405,0.738,0.095,408234
FC,Cutter,FB,88,8.95,19,19,2,10.53,0,0.0,42,12,28.57,13.64,12,13.64,27.27,29.41,6.86,10.53,0.211,0.211,0.316,0.527,0.105,408234
ST,Sweeper,BR,79,8.04,20,17,8,40.0,3,15.0,29,15,51.72,18.99,11,13.92,32.91,30.36,9.39,30.77,0.353,0.45,0.529,0.979,0.176,408234
CU,Curveball,BR,46,4.68,14,14,2,14.29,0,0.0,25,6,24.0,13.04,5,10.87,23.91,42.86,6.5,11.11,0.214,0.214,0.286,0.5,0.0719999999999999,408234
CH,Changeup,OS,34,3.46,8,8,0,0.0,0,0.0,21,9,42.86,26.47,3,8.82,35.29,47.37,4.69,0.0,0.375,0.375,0.5,0.875,0.125,408234
KC,Knuckle Curve,BR,17,1.73,8,8,4,50.0,0,0.0,13,6,46.15,35.29,1,5.88,41.18,66.67,3.97,36.36,0.0,0.0,0.0,0.0,0.0,408234
FS,Split-Finger,OS,6,0.61,5,4,2,40.0,0,0.0,4,2,50.0,33.33,0,0.0,33.33,33.33,1.08,66.67,0.0,0.2,0.0,0.2,0.0,408234
,,,3,0.31,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.36,100.0,0.0,0.0,0.0,0.0,0.0,408234
SC,Screwball,,1,0.1,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.36,0.0,,,,,,408234
FF,4-Seam Fastball,FB,5,100.0,1,1,1,100.0,0,0.0,4,2,50.0,40.0,1,20.0,60.0,100.0,100.0,33.33,0.0,0.0,0.0,0.0,0.0,425794
FF,4-Seam Fastball,FB,61,27.73,17,16,3,17.65,1,5.88,26,4,15.38,6.56,12,19.67,26.23,10.71,19.35,25.0,0.375,0.412,0.75,1.162,0.375,443558
SL,Slider,BR,51,23.18,17,17,5,29.41,0,0.0,31,15,48.39,29.41,11,21.57,50.98,58.33,22.58,35.71,0.235,0.235,0.235,0.47,0.0,443558
SI,Sinker,FB,36,16.36,10,9,1,10.0,0,0.0,19,2,10.53,5.56,6,16.67,22.22,21.43,12.9,12.5,0.222,0.3,0.333,0.633,0.111,443558
ST,Sweeper,BR,21,9.55,6,6,3,50.0,0,0.0,11,7,63.64,33.33,4,19.05,52.38,57.14,12.9,37.5,0.167,0.167,0.333,0.5,0.166,443558
FC,Cutter,FB,18,8.18,5,5,2,40.0,0,0.0,12,5,41.67,27.78,1,5.56,33.33,40.0,6.45,50.0,0.2,0.2,0.2,0.4,0.0,443558
CH,Changeup,OS,12,5.45,4,3,2,50.0,1,25.0,8,4,50.0,33.33,0,0.0,33.33,60.0,9.68,33.33,0.0,0.25,0.0,0.25,0.0,443558
KC,Knuckle Curve,BR,12,5.45,2,2,1,50.0,0,0.0,8,3,37.5,25.0,2,16.67,41.67,71.43,8.06,20.0,0.0,0.0,0.0,0.0,0.0,443558
FS,Split-Finger,OS,7,3.18,1,1,0,0.0,0,0.0,3,1,33.33,14.29,1,14.29,28.57,40.0,8.06,0.0,1.0,1.0,3.0,4.0,2.0,443558
CU,Curveball,BR,2,0.91,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,443558
FF,4-Seam Fastball,FB,448,31.64,117,111,22,18.8,3,2.56,246,44,17.89,9.82,67,14.96,24.78,25.14,26.49,19.82,0.234,0.265,0.333,0.5980000000000001,0.099,444482
CH,Changeup,OS,239,16.88,65,62,8,12.31,3,4.62,121,33,27.27,13.81,13,5.44,19.25,36.31,15.51,12.31,0.21,0.246,0.29,0.536,0.0799999999999999,444482
SI,Sinker,FB,181,12.78,60,55,2,3.33,3,5.0,96,10,10.42,5.52,31,17.13,22.65,24.36,10.26,4.65,0.327,0.35,0.436,0.786,0.1089999999999999,444482
SL,Slider,BR,147,10.38,41,37,11,26.83,3,7.32,90,34,37.78,23.13,17,11.56,34.69,48.05,14.08,18.64,0.189,0.244,0.27,0.514,0.081,444482
FC,Cutter,FB,138,9.75,39,36,7,17.95,2,5.13,83,14,16.87,10.14,21,15.22,25.36,34.55,10.26,16.28,0.333,0.368,0.556,0.924,0.223,444482
CU,Curveball,BR,116,8.19,27,25,8,29.63,2,7.41,56,16,28.57,13.79,18,15.52,29.31,34.78,10.26,18.6,0.28,0.333,0.6,0.933,0.3199999999999999,444482
ST,Sweeper,BR,58,4.1,14,11,1,7.14,1,7.14,29,4,13.79,6.9,8,13.79,20.69,40.62,5.73,4.17,0.273,0.286,0.727,1.013,0.4539999999999999,444482
