Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,248,25.44,58,55,11,18.97,2,3.45,105,16,15.24,6.45,61,24.6,31.05,24.3,18.49,20.37,0.345,0.379,0.4,0.779,0.05500000000000005
ST,Sweeper,BR,214,21.95,55,48,12,21.82,6,10.91,112,38,33.93,17.76,30,14.02,31.78,30.56,22.95,17.91,0.188,0.273,0.312,0.585,0.124
FF,4-Seam Fastball,FB,163,16.72,47,44,12,25.53,0,0.0,81,15,18.52,9.2,25,15.34,24.54,23.29,21.58,19.05,0.159,0.191,0.432,0.623,0.273
SL,Slider,BR,148,15.18,36,32,5,13.89,4,11.11,68,19,27.94,12.84,27,18.24,31.08,23.53,8.56,20.0,0.375,0.444,0.531,0.9750000000000001,0.15600000000000003
FC,Cutter,FB,76,7.79,17,17,2,11.76,0,0.0,34,7,20.59,9.21,15,19.74,28.95,22.86,3.42,20.0,0.294,0.294,0.588,0.8819999999999999,0.294
KC,Knuckle Curve,BR,49,5.03,18,16,8,44.44,2,11.11,25,10,40.0,20.41,6,12.24,32.65,40.0,7.88,34.78,0.188,0.278,0.188,0.466,0.0
FS,Split-Finger,OS,42,4.31,19,18,6,31.58,0,0.0,27,8,29.63,19.05,2,4.76,23.81,40.91,11.3,18.18,0.167,0.211,0.167,0.378,0.0
CU,Curveball,BR,33,3.38,8,7,4,50.0,1,12.5,16,9,56.25,27.27,3,9.09,36.36,40.0,5.82,23.53,0.0,0.125,0.0,0.125,0.0
PO,Pitch Out,,1,0.1,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
,,,1,0.1,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
