Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FC,Cutter,FB,457,29.81,133,126,26,19.55,7,5.26,236,69,29.24,15.1,60,13.13,28.23,32.65,28.04,20.47,0.23,0.271,0.389,0.66,0.159
FF,4-Seam Fastball,FB,420,27.4,93,87,33,35.48,6,6.45,215,65,30.23,15.48,73,17.38,32.86,24.58,35.76,20.37,0.207,0.258,0.322,0.5800000000000001,0.11500000000000002
SI,Sinker,FB,401,26.16,108,99,14,12.96,6,5.56,173,16,9.25,3.99,105,26.18,30.17,24.0,15.45,20.0,0.263,0.324,0.364,0.688,0.10099999999999998
CU,Curveball,BR,101,6.59,23,23,4,17.39,0,0.0,39,11,28.21,10.89,18,17.82,28.71,24.14,7.06,12.5,0.391,0.391,0.609,1.0,0.21799999999999997
ST,Sweeper,BR,95,6.2,24,23,4,16.67,1,4.17,44,10,22.73,10.53,6,6.32,16.84,28.33,8.17,10.81,0.261,0.292,0.435,0.727,0.174
CH,Changeup,OS,53,3.46,17,15,6,35.29,1,5.88,23,6,26.09,11.32,5,9.43,20.75,21.21,5.3,25.0,0.133,0.235,0.2,0.435,0.067
,,,6,0.39,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.22,0.0,,,,,
