Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,611,35.2,183,154,34,18.58,27,14.75,231,20,8.66,3.27,170,27.82,31.1,15.77,41.31,18.58,0.273,0.379,0.461,0.8400000000000001,0.188
CH,Changeup,OS,537,30.93,150,138,20,13.33,7,4.67,289,83,28.72,15.46,47,8.75,24.21,40.17,31.38,14.39,0.312,0.338,0.442,0.78,0.13
FC,Cutter,FB,431,24.83,100,94,14,14.0,6,6.0,173,21,12.14,4.87,79,18.33,23.2,21.76,19.86,15.91,0.309,0.35,0.564,0.9139999999999999,0.25499999999999995
FF,4-Seam Fastball,FB,108,6.22,29,26,2,6.9,2,6.9,55,6,10.91,5.56,17,15.74,21.3,23.08,4.97,9.09,0.154,0.207,0.308,0.515,0.154
CU,Curveball,BR,35,2.02,9,9,2,22.22,0,0.0,18,7,38.89,20.0,7,20.0,40.0,52.63,1.58,28.57,0.111,0.111,0.111,0.222,0.0
SL,Slider,BR,7,0.4,2,1,0,0.0,0,0.0,2,0,0.0,0.0,1,14.29,14.29,0.0,0.68,0.0,0.0,0.5,0.0,0.5,0.0
,,,7,0.4,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.23,0.0,,1.0,,,
