Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,112,30.03,34,31,14,41.18,0,0.0,55,20,36.36,17.86,30,26.79,44.64,38.46,31.25,40.0,0.161,0.161,0.29,0.4509999999999999,0.1289999999999999,455117
SI,Sinker,FB,75,20.11,24,21,5,20.83,1,4.17,38,5,13.16,6.67,21,28.0,34.67,40.91,8.93,50.0,0.19,0.227,0.286,0.513,0.0959999999999999,455117
SL,Slider,BR,74,19.84,24,23,10,41.67,0,0.0,36,17,47.22,22.97,15,20.27,43.24,40.54,22.32,40.0,0.13,0.13,0.261,0.391,0.131,455117
ST,Sweeper,BR,30,8.04,7,7,2,28.57,0,0.0,11,5,45.45,16.67,3,10.0,26.67,27.27,12.5,14.29,0.286,0.286,0.286,0.572,0.0,455117
FC,Cutter,FB,23,6.17,8,7,2,25.0,1,12.5,13,5,38.46,21.74,5,21.74,43.48,42.86,3.57,50.0,0.286,0.375,0.714,1.089,0.428,455117
CU,Curveball,BR,22,5.9,6,6,4,66.67,0,0.0,8,6,75.0,27.27,8,36.36,63.64,25.0,8.93,40.0,0.0,0.0,0.0,0.0,0.0,455117
CH,Changeup,OS,11,2.95,3,3,3,100.0,0,0.0,6,5,83.33,45.45,1,9.09,54.55,20.0,4.46,60.0,0.0,0.0,0.0,0.0,0.0,455117
KC,Knuckle Curve,BR,11,2.95,1,1,1,100.0,0,0.0,2,2,100.0,18.18,2,18.18,36.36,11.11,4.46,20.0,0.0,0.0,0.0,0.0,0.0,455117
CS,Slow Curve,BR,7,1.88,1,1,0,0.0,0,0.0,2,0,0.0,0.0,2,28.57,28.57,0.0,0.0,,1.0,1.0,1.0,2.0,0.0,455117
FS,Split-Finger,OS,4,1.07,1,1,1,100.0,0,0.0,2,1,50.0,25.0,0,0.0,25.0,33.33,1.79,50.0,0.0,0.0,0.0,0.0,0.0,455117
FA,Other,,1,0.27,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,0.0,0.89,0.0,,1.0,,,,455117
PO,Pitch Out,,1,0.27,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.89,0.0,,,,,,455117
SV,Slurve,BR,1,0.27,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,455117
,,,1,0.27,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,455117
FF,4-Seam Fastball,FB,89,30.17,23,18,5,21.74,2,8.7,44,11,25.0,12.36,19,21.35,33.71,36.59,29.63,20.83,0.333,0.409,0.444,0.853,0.1109999999999999,456781
SL,Slider,BR,67,22.71,16,15,2,12.5,1,6.25,37,14,37.84,20.9,9,13.43,34.33,40.0,25.93,9.52,0.2,0.25,0.267,0.517,0.067,456781
SI,Sinker,FB,55,18.64,14,12,0,0.0,1,7.14,25,1,4.0,1.82,11,20.0,21.82,19.05,11.11,0.0,0.583,0.643,0.583,1.226,0.0,456781
FC,Cutter,FB,29,9.83,8,8,3,37.5,0,0.0,17,7,41.18,24.14,4,13.79,37.93,50.0,8.64,42.86,0.375,0.375,0.375,0.75,0.0,456781
ST,Sweeper,BR,29,9.83,9,9,4,44.44,0,0.0,15,5,33.33,17.24,2,6.9,24.14,33.33,9.88,50.0,0.222,0.222,0.556,0.778,0.3340000000000001,456781
CH,Changeup,OS,14,4.75,4,3,1,25.0,1,25.0,9,3,33.33,21.43,0,0.0,21.43,33.33,11.11,11.11,0.0,0.25,0.0,0.25,0.0,456781
CU,Curveball,BR,7,2.37,2,2,0,0.0,0,0.0,2,0,0.0,0.0,1,14.29,14.29,20.0,3.7,0.0,1.0,1.0,2.5,3.5,1.5,456781
FA,Other,,3,1.02,1,1,0,0.0,0,0.0,1,0,0.0,0.0,2,66.67,66.67,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,456781
EP,Eephus,,1,0.34,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,456781
KC,Knuckle Curve,BR,1,0.34,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,1.0,1.0,1.0,2.0,0.0,456781
FF,4-Seam Fastball,FB,454,27.6,130,112,19,14.62,16,12.31,259,51,19.69,11.23,56,12.33,23.57,24.29,27.66,14.07,0.205,0.305,0.375,0.6799999999999999,0.17,457705
SI,Sinker,FB,338,20.55,95,80,13,13.68,11,11.58,164,31,18.9,9.17,54,15.98,25.15,16.67,14.96,17.81,0.275,0.376,0.362,0.738,0.0869999999999999,457705
SL,Slider,BR,324,19.7,65,56,23,35.38,9,13.85,125,53,42.4,16.36,58,17.9,34.26,16.67,21.93,20.56,0.179,0.292,0.357,0.649,0.178,457705
ST,Sweeper,BR,200,12.16,43,39,12,27.91,2,4.65,83,27,32.53,13.5,31,15.5,29.0,22.32,15.98,15.38,0.103,0.14,0.128,0.268,0.025,457705
FC,Cutter,FB,142,8.63,22,18,5,22.73,4,18.18,49,10,20.41,7.04,35,24.65,31.69,17.81,6.97,14.71,0.333,0.455,0.333,0.788,0.0,457705
CU,Curveball,BR,66,4.01,19,19,4,21.05,0,0.0,27,7,25.93,10.61,9,13.64,24.24,13.51,3.69,22.22,0.368,0.368,0.526,0.894,0.158,457705
CH,Changeup,OS,52,3.16,13,11,1,7.69,2,15.38,25,6,24.0,11.54,2,3.85,15.38,16.0,3.07,6.67,0.273,0.385,0.364,0.749,0.0909999999999999,457705
FS,Split-Finger,OS,36,2.19,10,9,5,50.0,1,10.0,18,6,33.33,16.67,2,5.56,22.22,23.81,3.28,31.25,0.222,0.3,0.667,0.967,0.445,457705
KC,Knuckle Curve,BR,16,0.97,1,1,0,0.0,0,0.0,5,1,20.0,6.25,1,6.25,12.5,16.67,1.02,0.0,1.0,1.0,1.0,2.0,0.0,457705
SV,Slurve,BR,8,0.49,1,0,0,0.0,1,100.0,2,2,100.0,25.0,0,0.0,25.0,14.29,0.82,0.0,,1.0,,,,457705
,,,6,0.36,3,0,0,0.0,3,100.0,0,0,,0.0,0,0.0,0.0,,0.2,0.0,,1.0,,,,457705
FO,Forkball,OS,2,0.12,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.41,0.0,,,,,,457705
EP,Eephus,,1,0.06,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,1.0,1.0,1.0,2.0,0.0,457705
FF,4-Seam Fastball,FB,166,49.55,38,34,12,31.58,3,7.89,87,18,20.69,10.84,25,15.06,25.9,28.17,53.1,20.0,0.118,0.184,0.118,0.302,0.0,457759
SI,Sinker,FB,57,17.01,14,9,1,7.14,4,28.57,26,1,3.85,1.75,12,21.05,22.81,19.05,7.96,11.11,0.111,0.429,0.111,0.54,0.0,457759
SL,Slider,BR,49,14.63,15,15,2,13.33,0,0.0,25,6,24.0,12.24,1,2.04,14.29,31.03,19.47,9.09,0.2,0.2,0.267,0.467,0.067,457759
ST,Sweeper,BR,25,7.46,6,5,1,16.67,0,0.0,10,2,20.0,8.0,2,8.0,16.0,35.29,8.85,10.0,0.2,0.167,0.2,0.367,0.0,457759
FC,Cutter,FB,15,4.48,4,3,0,0.0,1,25.0,5,1,20.0,6.67,2,13.33,20.0,11.11,2.65,0.0,0.0,0.25,0.0,0.25,0.0,457759
CU,Curveball,BR,11,3.28,3,3,1,33.33,0,0.0,4,1,25.0,9.09,2,18.18,27.27,0.0,3.54,25.0,0.0,0.0,0.0,0.0,0.0,457759
CH,Changeup,OS,8,2.39,1,1,0,0.0,0,0.0,3,0,0.0,0.0,1,12.5,12.5,0.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,457759
KC,Knuckle Curve,BR,2,0.6,0,0,0,,0,,0,0,,0.0,1,50.0,50.0,,0.0,,,,,,,457759
FS,Split-Finger,OS,1,0.3,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,457759
FA,Other,,1,0.3,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,1.0,1.0,1.0,2.0,0.0,457759
FF,4-Seam Fastball,FB,435,31.14,122,109,15,12.3,12,9.84,218,38,17.43,8.74,60,13.79,22.53,20.63,27.94,13.16,0.22,0.295,0.312,0.607,0.092,467793
SI,Sinker,FB,169,12.1,40,34,5,12.5,5,12.5,78,12,15.38,7.1,30,17.75,24.85,27.5,11.52,10.64,0.265,0.35,0.353,0.703,0.0879999999999999,467793
CH,Changeup,OS,168,12.03,37,34,9,24.32,2,5.41,80,27,33.75,16.07,16,9.52,25.6,36.28,12.75,17.31,0.206,0.25,0.235,0.485,0.0289999999999999,467793
SL,Slider,BR,155,11.1,39,30,13,33.33,9,23.08,65,25,38.46,16.13,27,17.42,33.55,24.69,13.24,24.07,0.167,0.359,0.3,0.659,0.1329999999999999,467793
CU,Curveball,BR,131,9.38,19,16,8,42.11,2,10.53,36,14,38.89,10.69,32,24.43,35.11,18.67,9.31,21.05,0.125,0.222,0.125,0.347,0.0,467793
FC,Cutter,FB,121,8.66,26,22,3,11.54,3,11.54,66,15,22.73,12.4,18,14.88,27.27,17.07,6.62,11.11,0.273,0.346,0.455,0.8009999999999999,0.182,467793
FS,Split-Finger,OS,95,6.8,24,23,6,25.0,1,4.17,46,14,30.43,14.74,6,6.32,21.05,32.81,9.07,16.22,0.217,0.25,0.348,0.598,0.1309999999999999,467793
ST,Sweeper,BR,78,5.58,13,10,4,30.77,1,7.69,28,10,35.71,12.82,14,17.95,30.77,16.67,6.37,15.38,0.2,0.385,0.5,0.885,0.3,467793
KC,Knuckle Curve,BR,32,2.29,5,4,2,40.0,0,0.0,7,2,28.57,6.25,8,25.0,31.25,15.0,1.96,25.0,0.0,0.2,0.0,0.2,0.0,467793
SV,Slurve,BR,11,0.79,3,3,0,0.0,0,0.0,6,1,16.67,9.09,1,9.09,18.18,33.33,0.98,0.0,0.333,0.333,0.667,1.0,0.334,467793
PO,Pitch Out,,1,0.07,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.25,0.0,,,,,,467793
,,,1,0.07,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,467793
FF,4-Seam Fastball,FB,17,32.69,6,5,2,33.33,1,16.67,10,2,20.0,11.76,2,11.76,23.53,50.0,35.29,33.33,0.0,0.167,0.0,0.167,0.0,493329
SL,Slider,BR,15,28.85,4,4,1,25.0,0,0.0,7,3,42.86,20.0,2,13.33,33.33,45.45,23.53,25.0,0.25,0.25,0.25,0.5,0.0,493329
ST,Sweeper,BR,9,17.31,1,0,0,0.0,1,100.0,1,0,0.0,0.0,3,33.33,33.33,0.0,17.65,0.0,,1.0,,,,493329
SI,Sinker,FB,5,9.62,1,1,0,0.0,0,0.0,2,0,0.0,0.0,1,20.0,20.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,493329
CH,Changeup,OS,3,5.77,0,0,0,,0,,3,0,0.0,0.0,0,0.0,0.0,100.0,11.76,0.0,,,,,,493329
CU,Curveball,BR,2,3.85,1,1,1,100.0,0,0.0,1,1,100.0,50.0,1,50.0,100.0,,5.88,100.0,0.0,0.0,0.0,0.0,0.0,493329
FC,Cutter,FB,1,1.92,0,0,0,,0,,0,0,,0.0,1,100.0,100.0,,0.0,,,,,,,493329
FF,4-Seam Fastball,FB,188,29.51,53,43,8,15.09,10,18.87,77,10,12.99,5.32,43,22.87,28.19,23.33,26.37,16.67,0.256,0.396,0.302,0.698,0.0459999999999999,500743
SL,Slider,BR,114,17.9,27,26,7,25.93,0,0.0,61,24,39.34,21.05,21,18.42,39.47,50.0,18.68,20.59,0.269,0.269,0.5,0.769,0.2309999999999999,500743
SI,Sinker,FB,107,16.8,38,37,4,10.53,0,0.0,51,2,3.92,1.87,31,28.97,30.84,41.03,13.19,16.67,0.351,0.351,0.432,0.7829999999999999,0.081,500743
ST,Sweeper,BR,69,10.83,17,17,2,11.76,0,0.0,30,7,23.33,10.14,12,17.39,27.54,28.95,14.29,7.69,0.118,0.118,0.118,0.236,0.0,500743
FC,Cutter,FB,61,9.58,21,19,2,9.52,1,4.76,32,5,15.62,8.2,8,13.11,21.31,25.0,4.4,25.0,0.158,0.2,0.158,0.358,0.0,500743
CH,Changeup,OS,33,5.18,9,9,2,22.22,0,0.0,20,7,35.0,21.21,2,6.06,27.27,35.29,9.34,11.76,0.111,0.111,0.222,0.333,0.111,500743
CU,Curveball,BR,28,4.4,7,7,2,28.57,0,0.0,11,3,27.27,10.71,5,17.86,28.57,25.0,6.04,18.18,0.0,0.0,0.0,0.0,0.0,500743
FS,Split-Finger,OS,16,2.51,4,4,1,25.0,0,0.0,9,2,22.22,12.5,0,0.0,12.5,36.36,6.04,9.09,0.0,0.0,0.0,0.0,0.0,500743
KC,Knuckle Curve,BR,9,1.41,2,2,1,50.0,0,0.0,2,1,50.0,11.11,3,33.33,44.44,16.67,1.65,33.33,0.5,0.5,0.5,1.0,0.0,500743
FA,Other,,7,1.1,3,3,0,0.0,0,0.0,4,0,0.0,0.0,0,0.0,0.0,40.0,0.0,,0.667,0.667,0.667,1.334,0.0,500743
SV,Slurve,BR,4,0.63,1,1,0,0.0,0,0.0,1,0,0.0,0.0,3,75.0,75.0,,0.0,,0.0,0.0,0.0,0.0,0.0,500743
EP,Eephus,,1,0.16,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,500743
FF,4-Seam Fastball,FB,314,25.43,89,72,17,19.1,16,17.98,133,30,22.56,9.55,60,19.11,28.66,12.03,26.02,19.1,0.292,0.427,0.514,0.941,0.222,502054
SI,Sinker,FB,274,22.19,81,74,6,7.41,6,7.41,128,11,8.59,4.01,57,20.8,24.82,21.36,15.79,11.11,0.284,0.346,0.392,0.738,0.108,502054
SL,Slider,BR,223,18.06,50,45,14,28.0,5,10.0,86,34,39.53,15.25,52,23.32,38.57,25.96,17.54,23.33,0.178,0.26,0.333,0.593,0.155,502054
ST,Sweeper,BR,138,11.17,33,32,9,27.27,0,0.0,57,17,29.82,12.32,29,21.01,33.33,18.75,14.91,17.65,0.156,0.152,0.156,0.308,0.0,502054
FC,Cutter,FB,115,9.31,28,25,5,17.86,2,7.14,54,13,24.07,11.3,19,16.52,27.83,19.57,6.14,23.81,0.4,0.429,0.6,1.029,0.1999999999999999,502054
CU,Curveball,BR,60,4.86,15,14,8,53.33,0,0.0,18,6,33.33,10.0,18,30.0,40.0,18.52,7.6,30.77,0.214,0.2,0.214,0.414,0.0,502054
CH,Changeup,OS,50,4.05,12,10,3,25.0,1,8.33,24,5,20.83,10.0,6,12.0,22.0,21.74,5.26,16.67,0.3,0.364,0.3,0.6639999999999999,0.0,502054
FS,Split-Finger,OS,24,1.94,7,6,3,42.86,1,14.29,12,5,41.67,20.83,1,4.17,25.0,38.89,2.63,33.33,0.167,0.286,0.333,0.619,0.166,502054
KC,Knuckle Curve,BR,21,1.7,6,6,4,66.67,0,0.0,11,6,54.55,28.57,3,14.29,42.86,36.36,2.63,44.44,0.0,0.0,0.0,0.0,0.0,502054
SV,Slurve,BR,8,0.65,2,2,1,50.0,0,0.0,3,0,0.0,0.0,3,37.5,37.5,0.0,0.58,50.0,0.5,0.5,0.5,1.0,0.0,502054
CS,Slow Curve,BR,2,0.16,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,502054
FO,Forkball,OS,2,0.16,2,2,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,,0.29,0.0,0.5,0.5,1.0,1.5,0.5,502054
FA,Other,,2,0.16,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,502054
PO,Pitch Out,,1,0.08,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,502054
,,,1,0.08,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,502054
FF,4-Seam Fastball,FB,422,29.18,100,90,15,15.0,9,9.0,235,40,17.02,9.48,58,13.74,23.22,30.46,26.85,11.81,0.278,0.35,0.322,0.6719999999999999,0.0439999999999999,502671
SI,Sinker,FB,274,18.95,83,78,16,19.28,3,3.61,172,33,19.19,12.04,45,16.42,28.47,53.23,12.47,27.12,0.231,0.256,0.346,0.602,0.1149999999999999,502671
SL,Slider,BR,249,17.22,52,51,19,36.54,1,1.92,94,35,37.23,14.06,63,25.3,39.36,20.0,16.7,24.05,0.216,0.231,0.353,0.584,0.1369999999999999,502671
ST,Sweeper,BR,143,9.89,25,23,6,24.0,1,4.0,44,10,22.73,6.99,25,17.48,24.48,9.88,12.05,10.53,0.217,0.24,0.217,0.4569999999999999,0.0,502671
FC,Cutter,FB,138,9.54,32,28,6,18.75,2,6.25,67,15,22.39,10.87,27,19.57,30.43,29.03,6.77,18.75,0.321,0.367,0.393,0.76,0.072,502671
CH,Changeup,OS,82,5.67,29,28,11,37.93,1,3.45,49,16,32.65,19.51,7,8.54,28.05,42.22,10.36,22.45,0.25,0.276,0.286,0.562,0.0359999999999999,502671
FS,Split-Finger,OS,68,4.7,31,28,5,16.13,2,6.45,40,8,20.0,11.76,3,4.41,16.18,37.5,8.67,12.2,0.214,0.29,0.286,0.576,0.0719999999999999,502671
CU,Curveball,BR,40,2.77,8,8,3,37.5,0,0.0,12,3,25.0,7.5,5,12.5,20.0,15.38,3.17,20.0,0.25,0.25,0.625,0.875,0.375,502671
KC,Knuckle Curve,BR,13,0.9,3,3,0,0.0,0,0.0,5,0,0.0,0.0,4,30.77,30.77,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,502671
SV,Slurve,BR,12,0.83,3,3,0,0.0,0,0.0,4,0,0.0,0.0,3,25.0,25.0,16.67,1.48,0.0,0.333,0.333,0.333,0.666,0.0,502671
CS,Slow Curve,BR,2,0.14,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,502671
,,,2,0.14,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,502671
PO,Pitch Out,,1,0.07,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,502671
FF,4-Seam Fastball,FB,12,40.0,2,2,1,50.0,0,0.0,9,1,11.11,8.33,2,16.67,25.0,50.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,506702
CH,Changeup,OS,6,20.0,2,2,1,50.0,0,0.0,3,2,66.67,33.33,0,0.0,33.33,25.0,37.5,33.33,0.0,0.0,0.0,0.0,0.0,506702
SL,Slider,BR,5,16.67,1,1,1,100.0,0,0.0,0,0,,0.0,1,20.0,20.0,0.0,12.5,100.0,0.0,0.0,0.0,0.0,0.0,506702
KC,Knuckle Curve,BR,3,10.0,2,2,0,0.0,0,0.0,3,1,33.33,33.33,0,0.0,33.33,100.0,12.5,0.0,0.5,0.5,2.0,2.5,1.5,506702
CU,Curveball,BR,2,6.67,0,0,0,,0,,0,0,,0.0,1,50.0,50.0,0.0,12.5,0.0,,,,,,506702
SI,Sinker,FB,2,6.67,1,1,0,0.0,0,0.0,1,1,100.0,50.0,0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,506702
SI,Sinker,FB,420,22.53,100,85,11,11.0,11,11.0,181,21,11.6,5.0,97,23.1,28.1,34.12,16.16,13.75,0.294,0.38,0.459,0.839,0.165,514888
FF,4-Seam Fastball,FB,418,22.42,120,108,19,15.83,9,7.5,209,37,17.7,8.85,83,19.86,28.71,40.99,23.03,15.79,0.324,0.375,0.602,0.977,0.2779999999999999,514888
SL,Slider,BR,334,17.92,119,113,19,15.97,6,5.04,185,46,24.86,13.77,36,10.78,24.55,38.83,20.4,17.82,0.204,0.244,0.274,0.518,0.07,514888
ST,Sweeper,BR,222,11.91,61,56,15,24.59,4,6.56,116,32,27.59,14.41,23,10.36,24.77,42.36,17.37,17.44,0.232,0.279,0.411,0.69,0.1789999999999999,514888
FC,Cutter,FB,156,8.37,43,39,2,4.65,4,9.3,77,12,15.58,7.69,32,20.51,28.21,41.77,3.64,11.11,0.282,0.349,0.59,0.939,0.308,514888
CH,Changeup,OS,114,6.12,36,34,9,25.0,1,2.78,64,11,17.19,9.65,17,14.91,24.56,40.68,6.06,30.0,0.235,0.257,0.324,0.581,0.089,514888
FS,Split-Finger,OS,78,4.18,17,15,4,23.53,1,5.88,36,9,25.0,11.54,8,10.26,21.79,31.25,6.67,12.12,0.267,0.353,0.333,0.6859999999999999,0.066,514888
CU,Curveball,BR,68,3.65,19,18,2,10.53,1,5.26,36,7,19.44,10.29,6,8.82,19.12,45.45,4.04,10.0,0.278,0.316,0.444,0.76,0.1659999999999999,514888
