Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,117,26.23,40,37,3,7.5,2,5.0,57,3,5.26,2.56,21,17.95,20.51,35.0,27.18,10.71,0.189,0.25,0.27,0.52,0.08100000000000002
SI,Sinker,FB,92,20.63,33,32,2,6.06,1,3.03,45,1,2.22,1.09,23,25.0,26.09,35.71,13.59,14.29,0.219,0.242,0.281,0.523,0.06200000000000003
CH,Changeup,OS,56,12.56,19,18,1,5.26,1,5.26,28,5,17.86,8.93,4,7.14,16.07,36.36,10.68,9.09,0.5,0.526,0.778,1.304,0.278
SL,Slider,BR,50,11.21,16,16,5,31.25,0,0.0,31,10,32.26,20.0,8,16.0,36.0,59.26,16.5,29.41,0.062,0.062,0.062,0.124,0.0
CU,Curveball,BR,42,9.42,7,6,0,0.0,0,0.0,13,1,7.69,2.38,18,42.86,45.24,41.67,9.71,0.0,0.333,0.286,0.333,0.619,0.0
ST,Sweeper,BR,37,8.3,7,7,0,0.0,0,0.0,16,1,6.25,2.7,6,16.22,18.92,31.58,6.8,0.0,0.143,0.143,0.143,0.286,0.0
FC,Cutter,FB,36,8.07,7,7,1,14.29,0,0.0,20,2,10.0,5.56,8,22.22,27.78,50.0,10.68,9.09,0.143,0.143,0.571,0.714,0.42799999999999994
FS,Split-Finger,OS,9,2.02,2,2,1,50.0,0,0.0,7,3,42.86,33.33,1,11.11,44.44,75.0,2.91,33.33,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,7,1.57,1,1,1,100.0,0,0.0,4,1,25.0,14.29,2,28.57,42.86,66.67,1.94,50.0,0.0,0.0,0.0,0.0,0.0
