Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,74,35.75,12,10,1,8.33,1,8.33,41,10,24.39,13.51,5,6.76,20.27,30.77,34.92,4.55,0.5,0.583,0.6,1.1829999999999998,0.09999999999999998
CH,Changeup,OS,38,18.36,15,14,2,13.33,1,6.67,24,4,16.67,10.53,1,2.63,13.16,48.0,15.87,20.0,0.429,0.467,0.429,0.896,0.0
SL,Slider,BR,27,13.04,5,3,0,0.0,2,40.0,11,2,18.18,7.41,6,22.22,29.63,33.33,19.05,0.0,0.0,0.4,0.0,0.4,0.0
SI,Sinker,FB,27,13.04,5,5,3,60.0,0,0.0,14,3,21.43,11.11,4,14.81,25.93,35.71,7.94,60.0,0.2,0.2,0.2,0.4,0.0
CU,Curveball,BR,17,8.21,5,4,3,60.0,1,20.0,7,1,14.29,5.88,4,23.53,29.41,50.0,9.52,50.0,0.0,0.2,0.0,0.2,0.0
FC,Cutter,FB,11,5.31,5,5,1,20.0,0,0.0,5,1,20.0,9.09,0,0.0,9.09,28.57,3.17,50.0,0.4,0.4,0.4,0.8,0.0
ST,Sweeper,BR,9,4.35,2,2,0,0.0,0,0.0,4,0,0.0,0.0,0,0.0,0.0,16.67,6.35,0.0,0.5,0.5,1.0,1.5,0.5
KC,Knuckle Curve,BR,2,0.97,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,0.0,1.59,0.0,,,,,
FS,Split-Finger,OS,1,0.48,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,100.0,1.59,0.0,1.0,1.0,1.0,2.0,0.0
SV,Slurve,BR,1,0.48,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
