Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,59,35.98,16,16,1,6.25,0,0.0,27,3,11.11,5.08,17,28.81,33.9,34.78,26.19,9.09,0.188,0.188,0.25,0.438,0.062
FF,4-Seam Fastball,FB,33,20.12,7,7,0,0.0,0,0.0,14,2,14.29,6.06,10,30.3,36.36,30.77,19.05,0.0,0.286,0.286,0.429,0.715,0.14300000000000002
SL,Slider,BR,30,18.29,9,8,0,0.0,1,11.11,14,3,21.43,10.0,3,10.0,20.0,25.0,16.67,0.0,0.375,0.444,0.375,0.819,0.0
CU,Curveball,BR,12,7.32,2,2,2,100.0,0,0.0,7,5,71.43,41.67,0,0.0,41.67,50.0,9.52,50.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,10,6.1,3,2,0,0.0,1,33.33,4,2,50.0,20.0,2,20.0,40.0,33.33,2.38,0.0,0.0,0.333,0.0,0.333,0.0
ST,Sweeper,BR,7,4.27,3,3,1,33.33,0,0.0,3,1,33.33,14.29,2,28.57,42.86,33.33,7.14,33.33,0.667,0.667,0.667,1.334,0.0
CH,Changeup,OS,6,3.66,2,2,2,100.0,0,0.0,4,2,50.0,33.33,0,0.0,33.33,33.33,9.52,50.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,3,1.83,0,0,0,,0,,2,0,0.0,0.0,0,0.0,0.0,50.0,4.76,0.0,,,,,
SV,Slurve,BR,3,1.83,1,1,0,0.0,0,0.0,2,1,50.0,33.33,0,0.0,33.33,50.0,2.38,0.0,1.0,1.0,1.0,2.0,0.0
KC,Knuckle Curve,BR,1,0.61,1,1,1,100.0,0,0.0,1,1,100.0,100.0,0,0.0,100.0,100.0,2.38,100.0,0.0,0.0,0.0,0.0,0.0
