Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,327,36.13,66,56,34,51.52,9,13.64,169,84,49.7,25.69,46,14.07,39.76,24.82,38.1,28.33,0.179,0.303,0.393,0.696,0.21400000000000002
SI,Sinker,FB,229,25.3,59,54,9,15.25,3,5.08,126,20,15.87,8.73,42,18.34,27.07,40.21,17.46,16.36,0.278,0.322,0.352,0.6739999999999999,0.07399999999999995
SL,Slider,BR,140,15.47,41,40,10,24.39,1,2.44,83,27,32.53,19.29,14,10.0,29.29,40.85,16.51,19.23,0.2,0.22,0.4,0.62,0.2
ST,Sweeper,BR,85,9.39,21,20,7,33.33,1,4.76,43,19,44.19,22.35,6,7.06,29.41,38.98,11.43,19.44,0.3,0.333,0.45,0.783,0.15000000000000002
FC,Cutter,FB,45,4.97,13,11,5,38.46,2,15.38,22,9,40.91,20.0,3,6.67,26.67,25.0,4.76,33.33,0.182,0.308,0.273,0.581,0.09100000000000003
CU,Curveball,BR,24,2.65,7,7,3,42.86,0,0.0,11,3,27.27,12.5,1,4.17,16.67,33.33,3.49,27.27,0.286,0.286,0.286,0.572,0.0
SV,Slurve,BR,21,2.32,6,6,0,0.0,0,0.0,13,2,15.38,9.52,3,14.29,23.81,54.55,3.17,0.0,0.333,0.333,0.5,0.833,0.16699999999999998
CH,Changeup,OS,15,1.66,6,6,0,0.0,0,0.0,8,0,0.0,0.0,0,0.0,0.0,22.22,1.27,0.0,0.5,0.5,0.5,1.0,0.0
KC,Knuckle Curve,BR,12,1.33,3,3,3,100.0,0,0.0,4,3,75.0,25.0,2,16.67,41.67,33.33,2.54,37.5,0.0,0.0,0.0,0.0,0.0
,,,4,0.44,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.63,0.0,,1.0,,,
FS,Split-Finger,OS,3,0.33,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.63,0.0,1.0,1.0,1.0,2.0,0.0
