Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,107,29.08,20,16,6,30.0,4,20.0,57,11,19.3,10.28,12,11.21,21.5,21.28,40.3,11.11,0.125,0.3,0.25,0.55,0.125
SI,Sinker,FB,106,28.8,27,24,1,3.7,1,3.7,53,6,11.32,5.66,22,20.75,26.42,27.27,20.9,3.57,0.25,0.296,0.25,0.546,0.0
SL,Slider,BR,69,18.75,13,12,0,0.0,1,7.69,25,8,32.0,11.59,14,20.29,31.88,28.21,17.16,0.0,0.333,0.385,0.417,0.802,0.08399999999999996
ST,Sweeper,BR,33,8.97,7,7,5,71.43,0,0.0,10,5,50.0,15.15,9,27.27,42.42,23.53,10.45,35.71,0.0,0.0,0.0,0.0,0.0
CH,Changeup,OS,20,5.43,5,5,1,20.0,0,0.0,12,3,25.0,15.0,1,5.0,20.0,22.22,5.97,12.5,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,20,5.43,6,5,1,16.67,1,16.67,11,3,27.27,15.0,4,20.0,35.0,55.56,1.49,50.0,0.2,0.333,0.2,0.533,0.0
CU,Curveball,BR,8,2.17,1,1,0,0.0,0,0.0,2,0,0.0,0.0,1,12.5,12.5,16.67,2.24,0.0,1.0,1.0,2.0,3.0,1.0
SV,Slurve,BR,2,0.54,2,2,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,100.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,1,0.27,0,0,0,,0,,1,1,100.0,100.0,0,0.0,100.0,,0.0,,,,,,
KC,Knuckle Curve,BR,1,0.27,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.75,0.0,,,,,
,,,1,0.27,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
