Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,46,24.73,7,6,4,57.14,1,14.29,17,6,35.29,13.04,16,34.78,47.83,27.27,24.14,28.57,0.167,0.286,0.167,0.45299999999999996,0.0
SI,Sinker,FB,44,23.66,11,7,3,27.27,3,27.27,10,3,30.0,6.82,19,43.18,50.0,27.27,17.24,30.0,0.286,0.545,0.286,0.831,0.0
SL,Slider,BR,40,21.51,11,10,4,36.36,1,9.09,14,4,28.57,10.0,7,17.5,27.5,19.23,25.86,26.67,0.2,0.273,0.2,0.47300000000000003,0.0
ST,Sweeper,BR,28,15.05,8,5,4,50.0,1,12.5,6,5,83.33,17.86,5,17.86,35.71,10.0,17.24,40.0,0.2,0.5,0.4,0.9,0.2
FC,Cutter,FB,11,5.91,2,1,1,50.0,1,50.0,4,1,25.0,9.09,3,27.27,36.36,0.0,6.9,25.0,0.0,0.5,0.0,0.5,0.0
CU,Curveball,BR,7,3.76,1,1,1,100.0,0,0.0,3,2,66.67,28.57,1,14.29,42.86,50.0,5.17,33.33,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,3,1.61,0,0,0,,0,,1,0,0.0,0.0,1,33.33,33.33,0.0,0.0,,,,,,
KC,Knuckle Curve,BR,3,1.61,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,1.0,1.0,4.0,5.0,3.0
CH,Changeup,OS,2,1.08,1,1,1,100.0,0,0.0,2,2,100.0,100.0,0,0.0,100.0,100.0,1.72,100.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,2,1.08,0,0,0,,0,,2,1,50.0,50.0,0,0.0,50.0,100.0,1.72,0.0,,,,,
