Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,4,33.33,1,1,1,100.0,0,0.0,2,1,50.0,25.0,0,0.0,25.0,0.0,33.33,50.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,4,33.33,1,1,0,0.0,0,0.0,2,0,0.0,0.0,1,25.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
CU,Curveball,BR,3,25.0,0,0,0,,0,,1,1,100.0,33.33,0,0.0,33.33,33.33,16.67,0.0,,,,,
CH,Changeup,OS,1,8.33,0,0,0,,0,,0,0,,0.0,1,100.0,100.0,0.0,0.0,,,,,,
