Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,160,31.37,30,25,7,23.33,3,10.0,80,21,26.25,13.12,31,19.38,32.5,25.76,34.1,11.86,0.36,0.467,0.56,1.0270000000000001,0.20000000000000007
CH,Changeup,OS,86,16.86,19,18,5,26.32,1,5.26,41,20,48.78,23.26,11,12.79,36.05,42.37,16.18,17.86,0.167,0.211,0.222,0.433,0.05499999999999999
SL,Slider,BR,60,11.76,22,20,3,13.64,1,4.55,38,7,18.42,11.67,6,10.0,21.67,42.86,12.14,14.29,0.2,0.238,0.25,0.488,0.04999999999999999
SI,Sinker,FB,56,10.98,14,13,2,14.29,1,7.14,29,2,6.9,3.57,8,14.29,17.86,20.83,7.51,15.38,0.308,0.357,0.462,0.819,0.15400000000000003
FC,Cutter,FB,50,9.8,15,13,1,6.67,2,13.33,28,7,25.0,14.0,8,16.0,30.0,21.05,6.94,8.33,0.308,0.4,0.308,0.708,0.0
CU,Curveball,BR,47,9.22,12,10,4,33.33,2,16.67,21,7,33.33,14.89,4,8.51,23.4,37.14,12.14,19.05,0.1,0.25,0.1,0.35,0.0
ST,Sweeper,BR,23,4.51,7,5,2,28.57,1,14.29,11,5,45.45,21.74,2,8.7,30.43,37.5,5.2,22.22,0.2,0.429,0.2,0.629,0.0
KC,Knuckle Curve,BR,12,2.35,4,4,1,25.0,0,0.0,6,2,33.33,16.67,4,33.33,50.0,33.33,2.31,25.0,0.25,0.25,0.25,0.5,0.0
FS,Split-Finger,OS,8,1.57,3,3,0,0.0,0,0.0,6,1,16.67,12.5,0,0.0,12.5,60.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,6,1.18,2,2,0,0.0,0,0.0,4,0,0.0,0.0,1,16.67,16.67,50.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
,,,2,0.39,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.58,100.0,0.0,0.0,0.0,0.0,0.0
