Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,136,27.04,39,33,8,20.51,4,10.26,73,15,20.55,11.03,17,12.5,23.53,22.03,24.67,21.62,0.333,0.41,0.788,1.198,0.455
CH,Changeup,OS,107,21.27,26,25,2,7.69,1,3.85,38,8,21.05,7.48,12,11.21,18.69,16.42,20.0,6.67,0.16,0.192,0.16,0.352,0.0
SL,Slider,BR,75,14.91,19,13,4,21.05,5,26.32,29,7,24.14,9.33,18,24.0,33.33,17.14,17.33,15.38,0.231,0.421,0.538,0.9590000000000001,0.30700000000000005
SI,Sinker,FB,66,13.12,20,17,4,20.0,3,15.0,34,8,23.53,12.12,6,9.09,21.21,31.58,15.33,17.39,0.294,0.4,0.412,0.812,0.118
CU,Curveball,BR,44,8.75,6,5,0,0.0,1,16.67,7,1,14.29,2.27,14,31.82,34.09,7.69,6.0,0.0,0.4,0.5,0.6,1.1,0.19999999999999996
FC,Cutter,FB,38,7.55,9,7,0,0.0,2,22.22,20,6,30.0,15.79,5,13.16,28.95,43.48,7.33,0.0,0.429,0.556,1.0,1.556,0.571
ST,Sweeper,BR,18,3.58,6,6,1,16.67,0,0.0,9,1,11.11,5.56,4,22.22,27.78,25.0,3.33,20.0,0.167,0.167,0.667,0.8340000000000001,0.5
KC,Knuckle Curve,BR,9,1.79,2,2,1,50.0,0,0.0,4,2,50.0,22.22,2,22.22,44.44,25.0,2.67,25.0,0.5,0.5,0.5,1.0,0.0
SV,Slurve,BR,5,0.99,1,0,0,0.0,1,100.0,2,0,0.0,0.0,1,20.0,20.0,0.0,2.67,0.0,,1.0,,,
FS,Split-Finger,OS,4,0.8,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,25.0,0.67,0.0,,,,,
,,,1,0.2,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
