Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,140,32.71,31,28,7,22.58,2,6.45,73,18,24.66,12.86,26,18.57,31.43,24.53,35.9,16.67,0.286,0.333,0.786,1.119,0.5
CH,Changeup,OS,83,19.39,22,21,6,27.27,1,4.55,37,11,29.73,13.25,13,15.66,28.92,17.5,18.8,27.27,0.238,0.273,0.476,0.749,0.238
SL,Slider,BR,70,16.36,18,18,10,55.56,0,0.0,30,14,46.67,20.0,11,15.71,35.71,34.09,20.51,41.67,0.111,0.111,0.278,0.389,0.16700000000000004
SI,Sinker,FB,64,14.95,21,17,4,19.05,4,19.05,27,8,29.63,12.5,10,15.62,28.12,10.0,8.55,40.0,0.294,0.429,0.882,1.311,0.5880000000000001
CU,Curveball,BR,29,6.78,6,6,3,50.0,0,0.0,11,4,36.36,13.79,5,17.24,31.03,25.0,6.84,37.5,0.167,0.167,0.167,0.334,0.0
ST,Sweeper,BR,17,3.97,4,4,2,50.0,0,0.0,8,5,62.5,29.41,5,29.41,58.82,62.5,3.42,50.0,0.25,0.25,0.25,0.5,0.0
FC,Cutter,FB,16,3.74,4,2,1,25.0,1,25.0,5,3,60.0,18.75,2,12.5,31.25,10.0,3.42,25.0,0.5,0.75,0.5,1.25,0.0
KC,Knuckle Curve,BR,8,1.87,2,2,1,50.0,0,0.0,2,0,0.0,0.0,4,50.0,50.0,33.33,2.56,33.33,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,1,0.23,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
