Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,93,32.07,20,17,3,15.0,3,15.0,42,9,21.43,9.68,9,9.68,19.35,23.08,29.41,12.0,0.294,0.4,0.529,0.929,0.23500000000000004
CH,Changeup,OS,51,17.59,17,16,6,35.29,1,5.88,31,13,41.94,25.49,1,1.96,27.45,32.14,20.0,35.29,0.25,0.294,0.562,0.8560000000000001,0.31200000000000006
SI,Sinker,FB,40,13.79,10,9,3,30.0,0,0.0,24,8,33.33,20.0,5,12.5,32.5,28.57,8.24,42.86,0.222,0.3,0.222,0.522,0.0
SL,Slider,BR,36,12.41,8,7,1,12.5,1,12.5,20,7,35.0,19.44,4,11.11,30.56,36.84,14.12,8.33,0.429,0.5,0.571,1.071,0.14199999999999996
CU,Curveball,BR,29,10.0,10,10,6,60.0,0,0.0,17,9,52.94,31.03,5,17.24,48.28,42.86,11.76,60.0,0.3,0.3,0.6,0.8999999999999999,0.3
FC,Cutter,FB,23,7.93,4,4,0,0.0,0,0.0,11,1,9.09,4.35,3,13.04,17.39,27.27,7.06,0.0,0.5,0.5,0.75,1.25,0.25
KC,Knuckle Curve,BR,8,2.76,1,1,1,100.0,0,0.0,2,1,50.0,12.5,3,37.5,50.0,0.0,4.71,25.0,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,7,2.41,2,1,0,0.0,1,50.0,3,0,0.0,0.0,1,14.29,14.29,0.0,3.53,0.0,0.0,0.5,0.0,0.5,0.0
SV,Slurve,BR,2,0.69,0,0,0,,0,,2,0,0.0,0.0,0,0.0,0.0,,1.18,0.0,,,,,
,,,1,0.34,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
