Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,272,30.91,58,48,20,34.48,10,17.24,126,38,30.16,13.97,50,18.38,32.35,21.37,32.58,22.99,0.25,0.379,0.417,0.796,0.16699999999999998
SI,Sinker,FB,270,30.68,73,66,11,15.07,6,8.22,116,17,14.66,6.3,59,21.85,28.15,30.08,21.35,19.3,0.167,0.247,0.212,0.45899999999999996,0.044999999999999984
SL,Slider,BR,120,13.64,38,33,7,18.42,4,10.53,56,13,23.21,10.83,16,13.33,24.17,24.19,15.73,16.67,0.273,0.342,0.394,0.736,0.121
ST,Sweeper,BR,80,9.09,20,19,6,30.0,1,5.0,34,9,26.47,11.25,13,16.25,27.5,27.08,12.73,17.65,0.053,0.1,0.053,0.153,0.0
CU,Curveball,BR,52,5.91,10,9,3,30.0,1,10.0,17,4,23.53,7.69,7,13.46,21.15,14.29,8.61,13.04,0.333,0.4,0.667,1.0670000000000002,0.334
FC,Cutter,FB,44,5.0,12,11,2,16.67,1,8.33,16,3,18.75,6.82,11,25.0,31.82,10.53,1.87,40.0,0.364,0.417,0.636,1.053,0.272
CH,Changeup,OS,28,3.18,5,4,3,60.0,1,20.0,12,3,25.0,10.71,3,10.71,21.43,30.0,5.24,21.43,0.25,0.4,0.25,0.65,0.0
SV,Slurve,BR,8,0.91,0,0,0,,0,,3,0,0.0,0.0,1,12.5,12.5,0.0,1.5,0.0,,,,,
KC,Knuckle Curve,BR,4,0.45,3,3,0,0.0,0,0.0,4,0,0.0,0.0,0,0.0,0.0,,0.37,0.0,0.667,0.667,0.667,1.334,0.0
,,,2,0.23,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
