Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,71,24.74,21,20,1,4.76,1,4.76,37,8,21.62,11.27,10,14.08,25.35,23.33,17.24,6.67,0.1,0.143,0.3,0.44299999999999995,0.19999999999999998
FF,4-Seam Fastball,FB,67,23.34,17,13,6,35.29,4,23.53,35,10,28.57,14.93,11,16.42,31.34,34.38,25.29,27.27,0.077,0.294,0.077,0.371,0.0
SL,Slider,BR,42,14.63,9,9,2,22.22,0,0.0,22,8,36.36,19.05,7,16.67,35.71,20.0,12.64,18.18,0.111,0.111,0.111,0.222,0.0
ST,Sweeper,BR,34,11.85,7,6,3,42.86,1,14.29,11,2,18.18,5.88,5,14.71,20.59,5.26,18.39,18.75,0.0,0.143,0.0,0.143,0.0
FC,Cutter,FB,30,10.45,8,7,2,25.0,1,12.5,14,4,28.57,13.33,5,16.67,30.0,28.57,10.34,22.22,0.429,0.5,0.429,0.929,0.0
CU,Curveball,BR,19,6.62,4,4,1,25.0,0,0.0,5,1,20.0,5.26,4,21.05,26.32,18.18,5.75,20.0,0.5,0.5,0.75,1.25,0.25
CH,Changeup,OS,9,3.14,2,2,1,50.0,0,0.0,3,0,0.0,0.0,1,11.11,11.11,0.0,2.3,50.0,0.5,0.5,1.0,1.5,0.5
SV,Slurve,BR,8,2.79,2,2,2,100.0,0,0.0,2,1,50.0,12.5,3,37.5,50.0,0.0,3.45,66.67,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,4,1.39,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,2,0.7,1,1,1,100.0,0,0.0,2,2,100.0,100.0,0,0.0,100.0,100.0,1.15,100.0,0.0,0.0,0.0,0.0,0.0
,,,1,0.35,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
