Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,161,28.0,35,32,7,20.0,2,5.71,86,16,18.6,9.94,24,14.91,24.84,26.09,32.43,11.67,0.344,0.371,0.75,1.121,0.406
SL,Slider,BR,114,19.83,30,30,13,43.33,0,0.0,69,22,31.88,19.3,11,9.65,28.95,45.59,22.16,31.71,0.267,0.267,0.5,0.767,0.23299999999999998
CH,Changeup,OS,111,19.3,32,31,7,21.88,0,0.0,59,24,40.68,21.62,7,6.31,27.93,41.33,15.68,24.14,0.29,0.29,0.323,0.613,0.03300000000000003
SI,Sinker,FB,65,11.3,18,17,5,27.78,1,5.56,33,7,21.21,10.77,14,21.54,32.31,5.26,8.65,31.25,0.412,0.444,0.706,1.15,0.294
CU,Curveball,BR,55,9.57,12,12,5,41.67,0,0.0,27,8,29.63,14.55,8,14.55,29.09,16.67,7.57,35.71,0.167,0.167,0.5,0.667,0.33299999999999996
ST,Sweeper,BR,33,5.74,12,12,7,58.33,0,0.0,24,15,62.5,45.45,4,12.12,57.58,68.75,8.11,46.67,0.167,0.167,0.333,0.5,0.166
FC,Cutter,FB,18,3.13,5,4,1,20.0,0,0.0,12,6,50.0,33.33,3,16.67,50.0,62.5,2.16,25.0,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,7,1.22,2,2,1,50.0,0,0.0,3,2,66.67,28.57,1,14.29,42.86,25.0,1.08,50.0,0.5,0.5,0.5,1.0,0.0
,,,5,0.87,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
SV,Slurve,BR,4,0.7,1,1,1,100.0,0,0.0,3,1,33.33,25.0,0,0.0,25.0,66.67,2.16,25.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,2,0.35,2,2,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,0.5,0.5,0.5,1.0,0.0
