Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
CH,Changeup,OS,74,22.16,25,24,3,12.0,1,4.0,44,12,27.27,16.22,9,12.16,28.38,46.15,16.98,16.67,0.458,0.48,0.667,1.147,0.20900000000000002
FF,4-Seam Fastball,FB,74,22.16,22,21,4,18.18,1,4.55,41,5,12.2,6.76,12,16.22,22.97,22.22,25.47,14.81,0.238,0.273,0.429,0.702,0.191
SL,Slider,BR,69,20.66,16,15,5,31.25,0,0.0,39,12,30.77,17.39,8,11.59,28.99,48.78,26.42,17.86,0.2,0.25,0.4,0.65,0.2
SI,Sinker,FB,57,17.07,12,11,2,16.67,1,8.33,26,4,15.38,7.02,10,17.54,24.56,17.24,15.09,12.5,0.364,0.417,0.636,1.053,0.272
CU,Curveball,BR,21,6.29,5,5,1,20.0,0,0.0,7,2,28.57,9.52,5,23.81,33.33,30.77,6.6,14.29,0.6,0.6,0.6,1.2,0.0
FC,Cutter,FB,18,5.39,3,3,1,33.33,0,0.0,7,4,57.14,22.22,6,33.33,55.56,16.67,2.83,33.33,0.333,0.333,0.333,0.666,0.0
ST,Sweeper,BR,15,4.49,5,5,1,20.0,0,0.0,8,3,37.5,20.0,4,26.67,46.67,57.14,3.77,25.0,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,4,1.2,2,2,0,0.0,0,0.0,3,1,33.33,25.0,0,0.0,25.0,50.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0
FS,Split-Finger,OS,1,0.3,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.94,0.0,,,,,
,,,1,0.3,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.94,100.0,0.0,0.0,0.0,0.0,0.0
