Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,152,29.01,47,42,4,8.51,4,8.51,72,9,12.5,5.92,22,14.47,20.39,12.86,25.34,10.81,0.357,0.426,0.643,1.069,0.28600000000000003
CH,Changeup,OS,99,18.89,27,21,4,14.81,5,18.52,49,14,28.57,14.14,8,8.08,22.22,34.38,21.92,12.5,0.095,0.259,0.095,0.354,0.0
SL,Slider,BR,75,14.31,13,10,7,53.85,3,23.08,31,15,48.39,20.0,13,17.33,37.33,31.91,19.86,24.14,0.1,0.308,0.4,0.708,0.30000000000000004
FC,Cutter,FB,68,12.98,19,19,1,5.26,0,0.0,34,3,8.82,4.41,13,19.12,23.53,27.59,8.22,8.33,0.211,0.211,0.421,0.632,0.21
SI,Sinker,FB,64,12.21,17,15,1,5.88,2,11.76,30,4,13.33,6.25,14,21.88,28.12,27.59,15.75,4.35,0.333,0.412,0.467,0.879,0.134
CU,Curveball,BR,32,6.11,5,5,2,40.0,0,0.0,11,4,36.36,12.5,10,31.25,43.75,27.78,5.48,25.0,0.2,0.2,0.2,0.4,0.0
ST,Sweeper,BR,16,3.05,3,2,0,0.0,1,33.33,4,0,0.0,0.0,7,43.75,43.75,25.0,1.37,0.0,0.0,0.333,0.0,0.333,0.0
KC,Knuckle Curve,BR,8,1.53,3,3,0,0.0,0,0.0,6,1,16.67,12.5,1,12.5,25.0,66.67,2.05,0.0,0.333,0.333,0.667,1.0,0.334
,,,5,0.95,2,0,0,0.0,2,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
SV,Slurve,BR,3,0.57,0,0,0,,0,,0,0,,0.0,2,66.67,66.67,0.0,0.0,,,,,,
FS,Split-Finger,OS,2,0.38,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
