Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,159,28.86,46,42,9,19.57,1,2.17,97,25,25.77,15.72,14,8.81,24.53,41.25,32.26,15.0,0.31,0.348,0.595,0.943,0.285
CH,Changeup,OS,123,22.32,32,30,4,12.5,2,6.25,72,15,20.83,12.2,9,7.32,19.51,50.56,23.12,9.3,0.233,0.281,0.367,0.648,0.13399999999999998
SL,Slider,BR,84,15.25,20,18,11,55.0,0,0.0,55,23,41.82,27.38,11,13.1,40.48,66.67,16.67,35.48,0.056,0.15,0.056,0.206,0.0
SI,Sinker,FB,61,11.07,19,18,3,15.79,0,0.0,42,12,28.57,19.67,7,11.48,31.15,40.91,8.6,18.75,0.111,0.158,0.111,0.269,0.0
FC,Cutter,FB,40,7.26,9,9,2,22.22,0,0.0,29,9,31.03,22.5,3,7.5,30.0,61.9,4.84,22.22,0.333,0.333,0.667,1.0,0.334
CU,Curveball,BR,30,5.44,7,7,3,42.86,0,0.0,13,5,38.46,16.67,6,20.0,36.67,35.29,5.91,27.27,0.429,0.429,0.429,0.858,0.0
ST,Sweeper,BR,23,4.17,6,6,3,50.0,0,0.0,17,5,29.41,21.74,1,4.35,26.09,61.54,5.38,30.0,0.167,0.167,0.167,0.334,0.0
,,,17,3.09,5,0,0,0.0,5,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
KC,Knuckle Curve,BR,10,1.81,0,0,0,,0,,7,3,42.86,30.0,0,0.0,30.0,62.5,2.69,0.0,,,,,
FS,Split-Finger,OS,2,0.36,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,50.0,50.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,2,0.36,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,,0.54,0.0,0.0,0.0,0.0,0.0,0.0
