Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FC,Cutter,FB,4,26.67,1,1,1,100.0,0,0.0,2,2,100.0,50.0,1,25.0,75.0,33.33,33.33,100.0,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,4,26.67,0,0,0,,0,,0,0,,0.0,2,50.0,50.0,0.0,0.0,,,,,,
FF,4-Seam Fastball,FB,3,20.0,0,0,0,,0,,2,1,50.0,33.33,0,0.0,33.33,50.0,33.33,0.0,,,,,
SI,Sinker,FB,3,20.0,2,2,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.5,0.5,0.5,1.0,0.0
SL,Slider,BR,1,6.67,1,1,1,100.0,0,0.0,1,1,100.0,100.0,0,0.0,100.0,100.0,33.33,100.0,0.0,0.0,0.0,0.0,0.0
