Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,47,37.3,11,11,1,9.09,0,0.0,22,4,18.18,8.51,10,21.28,29.79,31.58,24.32,11.11,0.0,0.0,0.0,0.0,0.0
FF,4-Seam Fastball,FB,28,22.22,4,3,0,0.0,1,25.0,9,1,11.11,3.57,7,25.0,28.57,15.38,10.81,0.0,0.667,0.75,0.667,1.417,0.0
SL,Slider,BR,23,18.25,7,7,2,28.57,0,0.0,10,3,30.0,13.04,4,17.39,30.43,25.0,29.73,18.18,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,15,11.9,5,5,4,80.0,0,0.0,7,6,85.71,40.0,2,13.33,53.33,50.0,21.62,50.0,0.2,0.2,0.8,1.0,0.6000000000000001
CH,Changeup,OS,5,3.97,1,1,1,100.0,0,0.0,1,1,100.0,20.0,0,0.0,20.0,0.0,5.41,50.0,0.0,0.0,0.0,0.0,0.0
FC,Cutter,FB,3,2.38,2,2,1,50.0,0,0.0,3,2,66.67,66.67,0,0.0,66.67,100.0,2.7,100.0,0.5,0.5,0.5,1.0,0.0
FS,Split-Finger,OS,2,1.59,1,1,1,100.0,0,0.0,1,1,100.0,50.0,0,0.0,50.0,50.0,2.7,100.0,0.0,0.0,0.0,0.0,0.0
CU,Curveball,BR,1,0.79,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
KC,Knuckle Curve,BR,1,0.79,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,2.7,0.0,,,,,
,,,1,0.79,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
