Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,103,29.1,31,23,4,12.9,8,25.81,47,7,14.89,6.8,15,14.56,21.36,10.87,24.73,17.39,0.391,0.548,0.522,1.07,0.131
CU,Curveball,BR,64,18.08,6,5,0,0.0,0,0.0,11,1,9.09,1.56,15,23.44,25.0,7.32,15.05,0.0,0.4,0.5,0.4,0.9,0.0
SI,Sinker,FB,59,16.67,12,6,1,8.33,6,50.0,18,1,5.56,1.69,17,28.81,30.51,12.9,13.98,7.69,0.5,0.75,0.5,1.25,0.0
SL,Slider,BR,42,11.86,12,9,3,25.0,3,25.0,13,3,23.08,7.14,8,19.05,26.19,8.7,12.9,25.0,0.444,0.583,0.556,1.139,0.11200000000000004
CH,Changeup,OS,40,11.3,12,11,1,8.33,1,8.33,17,4,23.53,10.0,4,10.0,20.0,28.57,12.9,8.33,0.182,0.25,0.182,0.432,0.0
FC,Cutter,FB,26,7.34,6,6,2,33.33,0,0.0,10,2,20.0,7.69,7,26.92,34.62,16.67,11.83,18.18,0.167,0.167,0.333,0.5,0.166
ST,Sweeper,BR,15,4.24,4,4,1,25.0,0,0.0,5,1,20.0,6.67,5,33.33,40.0,28.57,7.53,14.29,0.25,0.25,0.5,0.75,0.25
,,,4,1.13,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
SV,Slurve,BR,1,0.28,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,1.08,0.0,,,,,
