Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
ST,Sweeper,BR,34,34.0,9,8,2,22.22,1,11.11,14,2,14.29,5.88,5,14.71,20.59,16.67,39.29,18.18,0.25,0.333,0.25,0.583,0.0
FF,4-Seam Fastball,FB,33,33.0,10,7,3,30.0,3,30.0,13,3,23.08,9.09,6,18.18,27.27,33.33,50.0,21.43,0.143,0.4,0.143,0.543,0.0
SI,Sinker,FB,33,33.0,6,5,1,16.67,1,16.67,11,5,45.45,15.15,9,27.27,42.42,36.84,10.71,33.33,0.4,0.5,0.4,0.9,0.0
