Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,20,47.62,4,4,0,0.0,0,0.0,10,1,10.0,5.0,6,30.0,35.0,16.67,64.29,0.0,0.0,0.0,0.0,0.0,0.0
SL,Slider,BR,14,33.33,3,3,1,33.33,0,0.0,5,1,20.0,7.14,3,21.43,28.57,14.29,28.57,25.0,0.333,0.333,0.333,0.666,0.0
FC,Cutter,FB,5,11.9,2,1,0,0.0,1,50.0,2,1,50.0,20.0,1,20.0,40.0,0.0,0.0,,1.0,1.0,1.0,2.0,0.0
FS,Split-Finger,OS,3,7.14,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,7.14,0.0,,,,,
