Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,367,28.87,120,108,31,25.83,9,7.5,164,24,14.63,6.54,96,26.16,32.7,23.72,32.31,29.52,0.278,0.339,0.481,0.8200000000000001,0.20299999999999996
ST,Sweeper,BR,293,23.05,115,114,48,41.74,1,0.87,176,73,41.48,24.91,10,3.41,28.33,50.47,58.77,24.61,0.202,0.209,0.342,0.551,0.14
FC,Cutter,FB,260,20.46,47,43,3,6.38,2,4.26,105,24,22.86,9.23,49,18.85,28.08,19.12,1.54,40.0,0.326,0.348,0.395,0.743,0.069
FF,4-Seam Fastball,FB,169,13.3,48,43,1,2.08,5,10.42,79,13,16.46,7.69,49,28.99,36.69,16.67,2.46,12.5,0.419,0.479,0.721,1.2,0.302
CU,Curveball,BR,130,10.23,24,23,2,8.33,1,4.17,48,21,43.75,16.15,32,24.62,40.77,25.0,2.46,25.0,0.304,0.333,0.522,0.855,0.21800000000000003
SL,Slider,BR,42,3.3,8,8,1,12.5,0,0.0,19,6,31.58,14.29,10,23.81,38.1,22.22,1.54,20.0,0.375,0.375,0.625,1.0,0.25
CH,Changeup,OS,5,0.39,2,2,1,50.0,0,0.0,3,1,33.33,20.0,2,40.0,60.0,,0.62,50.0,0.5,0.5,2.0,2.5,1.5
,,,3,0.24,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
CS,Slow Curve,BR,1,0.08,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
PO,Pitch Out,,1,0.08,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.31,0.0,,,,,
