Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FC,Cutter,FB,131,34.03,38,38,7,18.42,0,0.0,79,10,12.66,7.63,25,19.08,26.72,36.59,24.18,18.92,0.368,0.368,0.605,0.973,0.237
FF,4-Seam Fastball,FB,107,27.79,31,31,9,29.03,0,0.0,64,12,18.75,11.21,16,14.95,26.17,41.86,42.48,13.85,0.194,0.194,0.29,0.484,0.09599999999999997
SI,Sinker,FB,86,22.34,15,14,1,6.67,0,0.0,50,12,24.0,13.95,12,13.95,27.91,45.45,8.5,7.69,0.286,0.333,0.357,0.69,0.07100000000000001
FS,Split-Finger,OS,50,12.99,16,16,11,68.75,0,0.0,26,11,42.31,22.0,3,6.0,28.0,41.67,22.88,31.43,0.125,0.125,0.125,0.25,0.0
ST,Sweeper,BR,7,1.82,3,3,0,0.0,0,0.0,4,0,0.0,0.0,1,14.29,14.29,33.33,1.96,0.0,0.0,0.0,0.0,0.0,0.0
,,,4,1.04,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
