Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SI,Sinker,FB,210,21.43,60,51,12,20.0,9,15.0,82,12,14.63,5.71,54,25.71,31.43,20.21,18.36,19.64,0.216,0.333,0.275,0.6080000000000001,0.059000000000000025
FF,4-Seam Fastball,FB,171,17.45,42,37,12,28.57,3,7.14,69,14,20.29,8.19,42,24.56,32.75,20.51,19.67,20.0,0.135,0.2,0.297,0.497,0.16199999999999998
FC,Cutter,FB,131,13.37,34,27,4,11.76,5,14.71,64,11,17.19,8.4,21,16.03,24.43,22.95,9.84,13.33,0.407,0.5,0.519,1.0190000000000001,0.11200000000000004
SV,Slurve,BR,128,13.06,31,29,6,19.35,2,6.45,63,11,17.46,8.59,23,17.97,26.56,26.67,11.48,17.14,0.207,0.258,0.483,0.741,0.276
SL,Slider,BR,102,10.41,27,25,3,11.11,2,7.41,49,16,32.65,15.69,15,14.71,30.39,25.93,7.54,13.04,0.2,0.259,0.28,0.539,0.08000000000000002
CU,Curveball,BR,88,8.98,24,24,10,41.67,0,0.0,43,12,27.91,13.64,18,20.45,34.09,30.0,11.48,28.57,0.125,0.125,0.25,0.375,0.125
CS,Slow Curve,BR,68,6.94,14,13,4,28.57,1,7.14,29,9,31.03,13.24,13,19.12,32.35,23.53,8.85,14.81,0.077,0.143,0.077,0.21999999999999997,0.0
CH,Changeup,OS,43,4.39,11,10,4,36.36,1,9.09,18,4,22.22,9.3,6,13.95,23.26,12.5,8.52,15.38,0.2,0.273,0.5,0.773,0.3
ST,Sweeper,BR,30,3.06,5,4,1,20.0,1,20.0,11,3,27.27,10.0,3,10.0,20.0,28.57,3.28,10.0,0.25,0.4,0.25,0.65,0.0
FS,Split-Finger,OS,9,0.92,2,2,2,100.0,0,0.0,3,3,100.0,33.33,2,22.22,55.56,37.5,0.98,66.67,0.0,0.0,0.0,0.0,0.0
