Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
SL,Slider,BR,264,55.7,70,66,29,41.43,4,5.71,146,74,50.68,28.03,31,11.74,39.77,42.47,68.46,32.58,0.197,0.243,0.333,0.5760000000000001,0.136
FF,4-Seam Fastball,FB,205,43.25,58,50,3,5.17,7,12.07,105,18,17.14,8.78,28,13.66,22.44,25.0,28.46,8.11,0.28,0.368,0.44,0.808,0.15999999999999998
FC,Cutter,FB,3,0.63,2,2,2,100.0,0,0.0,3,2,66.67,66.67,0,0.0,66.67,100.0,2.31,66.67,0.0,0.0,0.0,0.0,0.0
SI,Sinker,FB,2,0.42,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,,0.77,0.0,1.0,1.0,1.0,2.0,0.0
