Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,291,35.44,90,77,31,34.44,9,10.0,139,29,20.86,9.97,66,22.68,32.65,26.27,40.64,26.96,0.195,0.287,0.338,0.625,0.14300000000000002
SL,Slider,BR,105,12.79,20,14,7,35.0,4,20.0,32,10,31.25,9.52,28,26.67,36.19,14.81,13.43,15.79,0.143,0.4,0.214,0.614,0.07100000000000001
CH,Changeup,OS,97,11.81,20,16,4,20.0,3,15.0,39,17,43.59,17.53,14,14.43,31.96,28.57,11.31,12.5,0.25,0.368,0.312,0.6799999999999999,0.062
FC,Cutter,FB,91,11.08,17,16,5,29.41,0,0.0,43,5,11.63,5.49,19,20.88,26.37,10.0,7.07,25.0,0.125,0.176,0.125,0.301,0.0
SI,Sinker,FB,89,10.84,20,17,2,10.0,3,15.0,31,0,0.0,0.0,27,30.34,30.34,3.23,9.19,7.69,0.294,0.4,0.353,0.753,0.059
CU,Curveball,BR,56,6.82,7,6,4,57.14,0,0.0,11,7,63.64,12.5,19,33.93,46.43,14.29,7.07,20.0,0.0,0.143,0.0,0.143,0.0
ST,Sweeper,BR,34,4.14,7,6,1,14.29,1,14.29,8,0,0.0,0.0,7,20.59,20.59,0.0,3.89,9.09,0.333,0.429,0.833,1.262,0.49999999999999994
FS,Split-Finger,OS,26,3.17,3,3,3,100.0,0,0.0,8,4,50.0,15.38,5,19.23,34.62,13.33,2.83,37.5,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,18,2.19,5,2,2,40.0,0,0.0,3,2,66.67,11.11,2,11.11,22.22,7.14,2.47,28.57,0.0,0.6,0.0,0.6,0.0
KN,Knuckleball,,11,1.34,2,2,1,50.0,0,0.0,4,1,25.0,9.09,2,18.18,27.27,28.57,1.77,20.0,0.5,0.5,2.0,2.5,1.5
SV,Slurve,BR,3,0.37,1,1,1,100.0,0,0.0,0,0,,0.0,2,66.67,66.67,0.0,0.35,100.0,0.0,0.0,0.0,0.0,0.0
