Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,329,24.12,82,76,7,8.54,5,6.1,155,16,10.32,4.86,85,25.84,30.7,26.02,20.88,8.24,0.408,0.439,0.5,0.9390000000000001,0.09200000000000003
SI,Sinker,FB,322,23.61,74,71,12,16.22,2,2.7,142,15,10.56,4.66,99,30.75,35.4,34.35,16.22,18.18,0.197,0.23,0.31,0.54,0.11299999999999999
SL,Slider,BR,260,19.06,68,64,12,17.65,4,5.88,111,26,23.42,10.0,43,16.54,26.54,19.23,20.88,14.12,0.281,0.324,0.438,0.762,0.15699999999999997
ST,Sweeper,BR,137,10.04,50,45,15,30.0,3,6.0,65,27,41.54,19.71,21,15.33,35.04,37.8,15.72,23.44,0.178,0.22,0.289,0.509,0.11099999999999999
FC,Cutter,FB,100,7.33,31,29,4,12.9,1,3.23,50,9,18.0,9.0,23,23.0,32.0,23.08,3.69,26.67,0.345,0.355,0.552,0.907,0.20700000000000007
CH,Changeup,OS,84,6.16,27,26,8,29.63,1,3.7,38,9,23.68,10.71,10,11.9,22.62,18.18,8.6,22.86,0.192,0.222,0.346,0.568,0.15399999999999997
CU,Curveball,BR,72,5.28,10,10,3,30.0,0,0.0,27,4,14.81,5.56,18,25.0,30.56,21.21,5.9,12.5,0.2,0.2,0.2,0.4,0.0
FS,Split-Finger,OS,30,2.2,8,8,1,12.5,0,0.0,12,2,16.67,6.67,1,3.33,10.0,21.05,4.42,5.56,0.125,0.125,0.125,0.25,0.0
KC,Knuckle Curve,BR,23,1.69,2,2,1,50.0,0,0.0,11,3,27.27,13.04,2,8.7,21.74,23.08,3.19,7.69,0.5,0.5,0.5,1.0,0.0
SV,Slurve,BR,4,0.29,2,2,0,0.0,0,0.0,2,0,0.0,0.0,2,50.0,50.0,,0.25,0.0,1.0,1.0,1.0,2.0,0.0
,,,2,0.15,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.25,100.0,0.0,0.0,0.0,0.0,0.0
SC,Screwball,,1,0.07,0,0,0,,0,,0,0,,0.0,1,100.0,100.0,,0.0,,,,,,
