Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,586,31.04,151,125,46,30.46,25,16.56,300,81,27.0,13.82,78,13.31,27.13,26.69,32.01,21.78,0.232,0.358,0.44,0.798,0.208
CH,Changeup,OS,303,16.05,80,75,17,21.25,5,6.25,180,60,33.33,19.8,21,6.93,26.73,47.12,15.21,17.71,0.213,0.262,0.4,0.662,0.18700000000000003
SL,Slider,BR,236,12.5,54,43,17,31.48,10,18.52,120,40,33.33,16.95,27,11.44,28.39,25.22,14.58,18.48,0.302,0.426,0.512,0.938,0.21000000000000002
FC,Cutter,FB,172,9.11,40,38,11,27.5,2,5.0,87,27,31.03,15.7,21,12.21,27.91,27.06,5.86,29.73,0.237,0.275,0.553,0.8280000000000001,0.31600000000000006
SI,Sinker,FB,149,7.89,45,42,6,13.33,2,4.44,87,9,10.34,6.04,21,14.09,20.13,40.3,5.55,17.14,0.333,0.356,0.524,0.88,0.191
CU,Curveball,BR,134,7.1,27,23,14,51.85,2,7.41,54,29,53.7,21.64,21,15.67,37.31,27.03,7.13,31.11,0.174,0.296,0.435,0.731,0.261
FS,Split-Finger,OS,120,6.36,31,25,10,32.26,6,19.35,53,21,39.62,17.5,11,9.17,26.67,32.94,9.35,16.95,0.16,0.323,0.16,0.483,0.0
ST,Sweeper,BR,107,5.67,14,11,8,57.14,3,21.43,42,15,35.71,14.02,19,17.76,31.78,20.0,6.34,20.0,0.182,0.357,0.455,0.812,0.273
KC,Knuckle Curve,BR,53,2.81,9,8,4,44.44,0,0.0,19,6,31.58,11.32,9,16.98,28.3,18.18,3.01,21.05,0.0,0.111,0.0,0.111,0.0
,,,14,0.74,3,0,0,0.0,3,100.0,0,0,,0.0,0,0.0,0.0,,0.16,0.0,,1.0,,,
SV,Slurve,BR,10,0.53,2,2,2,100.0,0,0.0,6,3,50.0,30.0,1,10.0,40.0,33.33,0.79,40.0,0.0,0.0,0.0,0.0,0.0
EP,Eephus,,3,0.16,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,33.33,33.33,50.0,0.0,,1.0,1.0,1.0,2.0,0.0
SC,Screwball,,1,0.05,0,0,0,,0,,1,1,100.0,100.0,0,0.0,100.0,,0.0,,,,,,
