Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,133,24.45,33,28,8,24.24,5,15.15,64,13,20.31,9.77,18,13.53,23.31,15.25,23.03,21.05,0.214,0.333,0.536,0.869,0.32200000000000006
FC,Cutter,FB,84,15.44,25,22,7,28.0,2,8.0,47,10,21.28,11.9,14,16.67,28.57,22.58,10.91,38.89,0.227,0.28,0.682,0.9620000000000001,0.45500000000000007
CH,Changeup,OS,80,14.71,21,17,9,42.86,3,14.29,38,16,42.11,20.0,7,8.75,28.75,32.73,21.82,25.0,0.118,0.238,0.294,0.532,0.176
SI,Sinker,FB,58,10.66,16,13,3,18.75,0,0.0,22,2,9.09,3.45,13,22.41,25.86,12.9,10.3,17.65,0.231,0.25,0.231,0.481,0.0
CU,Curveball,BR,51,9.38,7,7,2,28.57,0,0.0,22,7,31.82,13.73,6,11.76,25.49,25.81,9.09,13.33,0.286,0.286,0.429,0.715,0.14300000000000002
SL,Slider,BR,46,8.46,11,10,3,27.27,1,9.09,18,5,27.78,10.87,9,19.57,30.43,24.0,7.27,25.0,0.1,0.182,0.1,0.28200000000000003,0.0
FS,Split-Finger,OS,42,7.72,8,7,2,25.0,1,12.5,16,5,31.25,11.9,4,9.52,21.43,20.69,6.67,18.18,0.0,0.125,0.0,0.125,0.0
ST,Sweeper,BR,37,6.8,7,6,2,28.57,1,14.29,19,3,15.79,8.11,4,10.81,18.92,17.65,9.09,13.33,0.167,0.286,0.333,0.619,0.166
KC,Knuckle Curve,BR,8,1.47,3,3,1,33.33,0,0.0,3,1,33.33,12.5,3,37.5,50.0,33.33,0.61,100.0,0.333,0.333,0.333,0.666,0.0
SV,Slurve,BR,4,0.74,2,2,0,0.0,0,0.0,2,0,0.0,0.0,1,25.0,25.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0
,,,1,0.18,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.61,0.0,,,,,
