Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,37,38.14,12,11,4,33.33,1,8.33,21,7,33.33,18.92,7,18.92,37.84,27.27,37.5,33.33,0.182,0.25,0.273,0.523,0.09100000000000003
CH,Changeup,OS,21,21.65,3,3,2,66.67,0,0.0,10,7,70.0,33.33,3,14.29,47.62,20.0,15.62,40.0,0.0,0.0,0.0,0.0,0.0
SI,Sinker,FB,14,14.43,5,4,1,20.0,1,20.0,6,2,33.33,14.29,4,28.57,42.86,25.0,18.75,16.67,0.5,0.6,0.5,1.1,0.0
CU,Curveball,BR,10,10.31,2,2,2,100.0,0,0.0,3,2,66.67,20.0,1,10.0,30.0,33.33,12.5,50.0,0.0,0.0,0.0,0.0,0.0
ST,Sweeper,BR,5,5.15,2,1,1,50.0,0,0.0,1,1,100.0,20.0,1,20.0,40.0,0.0,9.38,33.33,0.0,0.5,0.0,0.5,0.0
FC,Cutter,FB,4,4.12,0,0,0,,0,,2,1,50.0,25.0,1,25.0,50.0,33.33,3.12,0.0,,,,,
SL,Slider,BR,3,3.09,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,3.12,0.0,,,,,
FS,Split-Finger,OS,2,2.06,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,0.0,0.0,,,,,,
KC,Knuckle Curve,BR,1,1.03,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
