Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,219,27.9,63,56,7,11.11,5,7.94,108,7,6.48,3.2,41,18.72,21.92,26.09,24.38,14.29,0.321,0.387,0.464,0.851,0.14300000000000002
SL,Slider,BR,173,22.04,44,42,5,11.36,2,4.55,78,24,30.77,13.87,29,16.76,30.64,27.66,25.37,9.8,0.238,0.273,0.31,0.583,0.07200000000000001
SI,Sinker,FB,154,19.62,38,33,2,5.26,4,10.53,59,2,3.39,1.3,42,27.27,28.57,23.19,13.93,7.14,0.394,0.459,0.576,1.035,0.18199999999999994
ST,Sweeper,BR,90,11.46,27,26,5,18.52,0,0.0,41,10,24.39,11.11,16,17.78,28.89,23.91,18.41,13.51,0.308,0.333,0.385,0.718,0.07700000000000001
FC,Cutter,FB,62,7.9,24,22,0,0.0,2,8.33,33,1,3.03,1.61,11,17.74,19.35,20.83,3.48,0.0,0.364,0.417,0.682,1.099,0.31800000000000006
CU,Curveball,BR,33,4.2,9,9,1,11.11,0,0.0,13,1,7.69,3.03,6,18.18,21.21,13.33,6.97,7.14,0.0,0.0,0.0,0.0,0.0
CH,Changeup,OS,22,2.8,6,5,3,50.0,1,16.67,12,6,50.0,27.27,1,4.55,31.82,43.75,4.48,33.33,0.2,0.333,0.2,0.533,0.0
FS,Split-Finger,OS,15,1.91,6,6,0,0.0,0,0.0,11,0,0.0,0.0,1,6.67,6.67,50.0,2.99,0.0,0.167,0.167,0.167,0.334,0.0
FA,Other,,8,1.02,2,1,0,0.0,1,50.0,2,0,0.0,0.0,1,12.5,12.5,16.67,0.0,,0.0,0.5,0.0,0.5,0.0
EP,Eephus,,3,0.38,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,33.33,0.0,,0.0,0.0,0.0,0.0,0.0
KC,Knuckle Curve,BR,3,0.38,3,2,0,0.0,0,0.0,3,0,0.0,0.0,0,0.0,0.0,100.0,0.0,,0.5,0.333,1.0,1.333,0.5
,,,3,0.38,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,
