Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,415,33.15,121,100,13,10.74,14,11.57,218,19,8.72,4.58,71,17.11,21.69,30.57,35.03,10.48,0.32,0.415,0.49,0.905,0.16999999999999998
CH,Changeup,OS,198,15.81,55,52,7,12.73,1,1.82,107,26,24.3,13.13,25,12.63,25.76,40.52,19.21,10.29,0.212,0.236,0.212,0.44799999999999995,0.0
SI,Sinker,FB,129,10.3,38,35,5,13.16,1,2.63,57,6,10.53,4.65,26,20.16,24.81,22.03,5.65,25.0,0.286,0.342,0.371,0.7130000000000001,0.08500000000000002
SL,Slider,BR,126,10.06,37,34,7,18.92,2,5.41,65,18,27.69,14.29,16,12.7,26.98,31.88,11.3,17.5,0.353,0.405,0.618,1.0230000000000001,0.265
FC,Cutter,FB,114,9.11,35,33,5,14.29,1,2.86,65,10,15.38,8.77,14,12.28,21.05,34.55,6.78,20.83,0.212,0.235,0.364,0.599,0.152
CU,Curveball,BR,80,6.39,13,12,0,0.0,0,0.0,25,2,8.0,2.5,25,31.25,33.75,23.68,4.24,0.0,0.333,0.333,0.583,0.9159999999999999,0.24999999999999994
FS,Split-Finger,OS,79,6.31,20,19,6,30.0,1,5.0,43,15,34.88,18.99,2,2.53,21.52,41.38,10.73,15.79,0.211,0.25,0.263,0.513,0.05200000000000002
ST,Sweeper,BR,58,4.63,15,10,1,6.67,2,13.33,17,5,29.41,8.62,11,18.97,27.59,14.29,2.54,11.11,0.3,0.533,0.6,1.133,0.3
KC,Knuckle Curve,BR,24,1.92,7,7,5,71.43,0,0.0,11,6,54.55,25.0,6,25.0,50.0,42.86,2.26,62.5,0.143,0.143,0.143,0.286,0.0
KN,Knuckleball,,11,0.88,4,4,1,25.0,0,0.0,5,2,40.0,18.18,1,9.09,27.27,28.57,1.41,20.0,0.75,0.75,0.75,1.5,0.0
SC,Screwball,,5,0.4,0,0,0,,0,,1,0,0.0,0.0,2,40.0,40.0,33.33,0.28,0.0,,,,,
,,,5,0.4,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
FA,Other,,3,0.24,1,1,0,0.0,0,0.0,1,0,0.0,0.0,1,33.33,33.33,0.0,0.0,,1.0,1.0,1.0,2.0,0.0
SV,Slurve,BR,3,0.24,0,0,0,,0,,0,0,,0.0,1,33.33,33.33,0.0,0.56,0.0,,,,,
EP,Eephus,,2,0.16,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
