Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,351,29.8,96,87,20,20.83,7,7.29,192,46,23.96,13.11,35,9.97,23.08,25.9,32.46,17.86,0.333,0.375,0.701,1.076,0.36799999999999994
CU,Curveball,BR,146,12.39,29,26,12,41.38,1,3.45,68,32,47.06,21.92,22,15.07,36.99,38.04,14.49,24.0,0.154,0.207,0.269,0.476,0.11500000000000002
FC,Cutter,FB,145,12.31,34,34,5,14.71,0,0.0,75,11,14.67,7.59,22,15.17,22.76,23.81,7.25,20.0,0.118,0.118,0.206,0.32399999999999995,0.088
CH,Changeup,OS,140,11.88,47,45,3,6.38,2,4.26,94,22,23.4,15.71,10,7.14,22.86,58.33,12.46,6.98,0.289,0.319,0.489,0.808,0.2
SL,Slider,BR,114,9.68,30,28,13,43.33,1,3.33,59,29,49.15,25.44,17,14.91,40.35,42.86,10.43,36.11,0.071,0.133,0.286,0.419,0.21499999999999997
SI,Sinker,FB,100,8.49,29,29,6,20.69,0,0.0,44,8,18.18,8.0,27,27.0,35.0,26.32,5.8,30.0,0.207,0.207,0.379,0.586,0.17200000000000001
ST,Sweeper,BR,65,5.52,19,19,7,36.84,0,0.0,33,10,30.3,15.38,9,13.85,29.23,25.81,5.8,35.0,0.316,0.316,0.526,0.8420000000000001,0.21000000000000002
FS,Split-Finger,OS,54,4.58,20,19,6,30.0,1,5.0,33,11,33.33,20.37,6,11.11,31.48,48.39,6.38,27.27,0.158,0.2,0.421,0.621,0.263
KC,Knuckle Curve,BR,50,4.24,11,9,6,54.55,0,0.0,21,11,52.38,22.0,10,20.0,42.0,34.38,4.35,40.0,0.111,0.2,0.444,0.644,0.333
KN,Knuckleball,,6,0.51,0,0,0,,0,,2,1,50.0,16.67,1,16.67,33.33,0.0,0.0,,,,,,
PO,Pitch Out,,3,0.25,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,
SV,Slurve,BR,2,0.17,1,1,1,100.0,0,0.0,2,2,100.0,100.0,0,0.0,100.0,100.0,0.29,100.0,0.0,0.0,0.0,0.0,0.0
,,,2,0.17,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.29,0.0,,1.0,,,
