Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO
FF,4-Seam Fastball,FB,449,28.65,124,104,22,17.74,13,10.48,249,50,20.08,11.14,54,12.03,23.16,28.79,27.43,17.32,0.317,0.41,0.615,1.025,0.298
CH,Changeup,OS,229,14.61,68,63,11,16.18,5,7.35,124,24,19.35,10.48,20,8.73,19.21,43.62,16.41,14.47,0.159,0.221,0.238,0.45899999999999996,0.07899999999999999
SL,Slider,BR,216,13.78,51,46,16,31.37,3,5.88,123,41,33.33,18.98,22,10.19,29.17,41.88,14.9,23.19,0.109,0.196,0.304,0.5,0.195
CU,Curveball,BR,147,9.38,46,39,12,26.09,2,4.35,70,19,27.14,12.93,27,18.37,31.29,37.66,11.88,21.82,0.154,0.239,0.359,0.598,0.205
SI,Sinker,FB,146,9.32,40,36,7,17.5,4,10.0,70,13,18.57,8.9,29,19.86,28.77,23.81,7.13,21.21,0.333,0.4,0.444,0.8440000000000001,0.11099999999999999
FC,Cutter,FB,144,9.19,31,25,1,3.23,1,3.23,63,15,23.81,10.42,20,13.89,24.31,15.28,4.97,4.35,0.36,0.448,0.76,1.208,0.4
FS,Split-Finger,OS,108,6.89,28,28,4,14.29,0,0.0,69,18,26.09,16.67,9,8.33,25.0,52.38,9.07,9.52,0.143,0.143,0.179,0.32199999999999995,0.036000000000000004
ST,Sweeper,BR,76,4.85,17,17,4,23.53,0,0.0,40,9,22.5,11.84,14,18.42,30.26,26.67,4.75,18.18,0.118,0.118,0.235,0.353,0.11699999999999999
KC,Knuckle Curve,BR,33,2.11,8,8,2,25.0,0,0.0,17,4,23.53,12.12,3,9.09,21.21,45.83,2.81,15.38,0.125,0.125,0.125,0.25,0.0
,,,12,0.77,3,0,0,0.0,3,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,
KN,Knuckleball,,6,0.38,1,1,0,0.0,0,0.0,3,0,0.0,0.0,0,0.0,0.0,40.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0
SV,Slurve,BR,1,0.06,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,,0.22,0.0,,,,,
