gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk,bPA,bAVG,bK,bK%,bBB,bBB%,bOPS,bISO,bWhiff%,bSwStr%,bcStr%,bCSW%,bChase%,bPutaway%,pbPA,pbAVG,pbK,pbK%,pbBB,pbBB%,pbOPS,pbISO,pbWhiff%,pbSwStr%,pbcStr%,pbCSW%,pbChase%,pbPutaway%,pPA,pAVG,pK,pK%,pBB,pBB%,pOPS,pISO,pWhiff%,pSwStr%,pcStr%,pCSW%,pChase%,pPutaway%,ppPA,ppAVG,ppK,ppK%,ppBB,ppBB%,ppOPS,ppISO,ppWhiff%,ppSwStr%,ppcStr%,ppCSW%,ppChase%,ppPutaway%
775345,2024-10-01,2024,663837,R,664285,L,field_out,False,False,152.0,0.275,35.0,23.03,12.0,7.89,0.72,0.11599999999999999,18.96,8.12,20.38,28.5,24.52,18.82,147.0,0.264,20.0,13.61,15.0,10.2,0.6990000000000001,0.0929999999999999,14.72,6.63,19.9,26.53,28.37,10.75,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
775345,2024-10-01,2024,669234,R,664285,L,walk,False,True,61.0,0.25,21.0,34.43,10.0,16.39,0.893,0.25,32.43,12.72,18.37,31.1,19.86,22.34,,,,,,,,,,,,,,,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
775345,2024-10-01,2024,682985,L,664285,L,grounded_into_double_play,False,False,152.0,0.213,45.0,29.61,9.0,5.92,0.698,0.22,26.53,12.23,20.53,32.76,26.69,18.75,93.0,0.279,30.0,32.26,7.0,7.53,0.6930000000000001,0.0809999999999999,30.96,15.64,16.92,32.56,32.98,21.74,114.0,0.252,34.0,29.82,5.0,4.39,0.681,0.131,28.04,12.93,20.49,33.41,31.0,30.63,142.0,0.22,45.0,31.69,14.0,9.86,0.7070000000000001,0.178,30.62,13.86,16.14,30.0,31.17,27.44
775345,2024-10-01,2024,514888,R,669373,L,field_out,False,False,170.0,0.37,28.0,16.47,12.0,7.06,0.968,0.16900000000000004,21.98,11.6,12.58,24.18,37.11,17.61,113.0,0.283,16.0,14.16,12.0,10.62,0.847,0.192,16.9,8.18,15.68,23.86,33.07,11.68,632.0,0.204,195.0,30.85,30.0,4.75,0.5720000000000001,0.11900000000000002,32.86,17.17,16.93,34.1,30.88,25.56,268.0,0.21,98.0,36.57,12.0,4.48,0.567,0.103,33.05,17.57,16.29,33.85,34.51,25.72
775345,2024-10-01,2024,663656,L,669373,L,field_out,False,False,124.0,0.262,20.0,16.13,19.0,15.32,0.8400000000000001,0.20400000000000001,17.97,8.16,14.23,22.38,19.83,14.39,238.0,0.3,28.0,11.76,22.0,9.24,0.934,0.2669999999999999,14.95,6.92,15.31,22.22,21.1,12.02,122.0,0.186,33.0,27.05,5.0,4.1,0.486,0.062,26.44,12.85,20.56,33.41,31.89,25.2,42.0,0.125,4.0,9.52,2.0,4.76,0.367,0.075,15.62,7.94,17.46,25.4,22.45,17.39
775345,2024-10-01,2024,670541,L,669373,L,field_out,False,False,209.0,0.362,39.0,18.66,14.0,6.7,1.028,0.255,21.83,10.93,14.44,25.37,35.05,20.86,174.0,0.295,37.0,21.26,20.0,11.49,0.892,0.212,24.91,11.27,17.53,28.79,30.5,20.79,122.0,0.186,33.0,27.05,5.0,4.1,0.486,0.062,26.44,12.85,20.56,33.41,31.89,25.2,42.0,0.125,4.0,9.52,2.0,4.76,0.367,0.075,15.62,7.94,17.46,25.4,22.45,17.39
775345,2024-10-01,2024,628451,R,664285,L,field_out,False,False,154.0,0.292,31.0,20.13,12.0,7.79,0.802,0.15300000000000002,29.41,15.18,12.32,27.5,29.45,21.23,118.0,0.261,24.0,20.34,6.0,5.08,0.8200000000000001,0.262,23.36,12.59,13.85,26.45,37.13,23.53,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
775345,2024-10-01,2024,672761,R,664285,L,single,False,False,96.0,0.209,24.0,25.0,9.0,9.38,0.594,0.093,20.81,9.86,15.14,25.0,29.69,17.14,,,,,,,,,,,,,,,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
775345,2024-10-01,2024,679529,R,664285,L,walk,False,True,90.0,0.235,15.0,16.67,7.0,7.78,0.798,0.271,16.2,7.59,15.71,23.3,21.43,11.81,161.0,0.231,33.0,20.5,16.0,9.94,0.8280000000000001,0.293,22.59,10.48,15.72,26.19,21.59,17.01,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
775345,2024-10-01,2024,678009,L,664285,L,force_out,False,False,62.0,0.263,20.0,32.26,3.0,4.84,0.732,0.15799999999999997,28.7,13.25,20.08,33.33,28.93,22.73,29.0,0.273,7.0,24.14,6.0,20.69,0.732,0.0449999999999999,30.43,11.76,13.45,25.21,18.18,28.0,114.0,0.252,34.0,29.82,5.0,4.39,0.681,0.131,28.04,12.93,20.49,33.41,31.0,30.63,142.0,0.22,45.0,31.69,14.0,9.86,0.7070000000000001,0.178,30.62,13.86,16.14,30.0,31.17,27.44
775345,2024-10-01,2024,668670,R,664285,L,single,False,False,94.0,0.169,27.0,28.72,11.0,11.7,0.507,0.07199999999999998,31.64,14.7,16.01,30.71,24.48,24.11,108.0,0.235,34.0,31.48,8.0,7.41,0.8600000000000001,0.326,32.64,14.72,17.76,32.48,23.9,29.06,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
775345,2024-10-01,2024,700242,L,664285,L,single,False,False,30.0,0.269,10.0,33.33,3.0,10.0,0.768,0.15399999999999997,33.93,16.96,16.96,33.93,42.37,32.26,,,,,,,,,,,,,,,114.0,0.252,34.0,29.82,5.0,4.39,0.681,0.131,28.04,12.93,20.49,33.41,31.0,30.63,142.0,0.22,45.0,31.69,14.0,9.86,0.7070000000000001,0.178,30.62,13.86,16.14,30.0,31.17,27.44
775345,2024-10-01,2024,663837,R,664285,L,single,False,False,152.0,0.275,35.0,23.03,12.0,7.89,0.72,0.11599999999999999,18.96,8.12,20.38,28.5,24.52,18.82,147.0,0.264,20.0,13.61,15.0,10.2,0.6990000000000001,0.0929999999999999,14.72,6.63,19.9,26.53,28.37,10.75,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
775345,2024-10-01,2024,669234,R,664285,L,strikeout,True,False,61.0,0.25,21.0,34.43,10.0,16.39,0.893,0.25,32.43,12.72,18.37,31.1,19.86,22.34,,,,,,,,,,,,,,,590.0,0.214,135.0,22.88,50.0,8.47,0.595,0.097,27.1,12.07,17.9,29.98,28.21,22.43,666.0,0.23,155.0,23.27,43.0,6.46,0.645,0.1289999999999999,25.9,12.29,16.56,28.85,28.37,25.66
