gid,date,year,batter,bSide,pitcher,pSide,result,isStrikeout,isWalk,bPA,bAVG,bK,bK%,bBB,bBB%,bOPS,bISO,bWhiff%,bSwStr%,bcStr%,bCSW%,bChase%,bPutaway%,pbPA,pbAVG,pbK,pbK%,pbBB,pbBB%,pbOPS,pbISO,pbWhiff%,pbSwStr%,pbcStr%,pbCSW%,pbChase%,pbPutaway%,pPA,pAVG,pK,pK%,pBB,pBB%,pOPS,pISO,pWhiff%,pSwStr%,pcStr%,pCSW%,pChase%,pPutaway%
746737,2024-03-28,2024,608841,R,641941,R,single,False,False,,,,,,,,,,,,,,,471.0,0.268,97.0,20.59,28.0,5.94,0.7030000000000001,0.12,23.85,11.18,18.94,30.12,30.48,17.38,,,,,,,,,,,,,,
746737,2024-03-28,2024,608336,L,641941,R,strikeout,True,False,,,,,,,,,,,,,,,273.0,0.177,118.0,43.22,40.0,14.65,0.748,0.271,44.52,21.12,11.99,33.11,25.82,30.1,,,,,,,,,,,,,,
746737,2024-03-28,2024,660688,L,641941,R,field_out,False,False,,,,,,,,,,,,,,,403.0,0.249,48.0,11.91,25.0,6.2,0.712,0.1629999999999999,14.96,7.67,15.92,23.59,36.49,14.77,,,,,,,,,,,,,,
746737,2024-03-28,2024,592696,L,641941,R,home_run,False,False,,,,,,,,,,,,,,,449.0,0.258,104.0,23.16,29.0,6.46,0.762,0.199,29.98,17.01,12.43,29.45,43.87,20.59,,,,,,,,,,,,,,
746737,2024-03-28,2024,545121,L,641941,R,field_out,False,False,,,,,,,,,,,,,,,179.0,0.226,11.0,6.15,15.0,8.38,0.58,0.0629999999999999,13.38,5.9,20.34,26.24,25.61,7.28,,,,,,,,,,,,,,
746737,2024-03-28,2024,687952,R,598264,R,field_out,False,False,,,,,,,,,,,,,,,181.0,0.274,54.0,29.83,8.0,4.42,0.8440000000000001,0.244,29.71,15.8,13.82,29.62,36.66,22.5,,,,,,,,,,,,,,
746737,2024-03-28,2024,600869,L,598264,R,field_out,False,False,,,,,,,,,,,,,,,415.0,0.251,91.0,21.93,38.0,9.16,0.812,0.2279999999999999,25.42,11.83,16.22,28.05,27.64,18.71,,,,,,,,,,,,,,
746737,2024-03-28,2024,641584,L,598264,R,field_out,False,False,,,,,,,,,,,,,,,339.0,0.268,66.0,19.47,34.0,10.03,0.815,0.199,24.78,12.84,11.52,24.36,30.55,18.38,,,,,,,,,,,,,,
746737,2024-03-28,2024,671277,L,608718,L,strikeout,True,False,,,,,,,,,,,,,,,129.0,0.261,16.0,12.4,4.0,3.1,0.668,0.134,18.96,9.55,16.71,26.25,27.88,16.49,,,,,,,,,,,,,,
746737,2024-03-28,2024,682928,L,608718,L,strikeout,True,False,,,,,,,,,,,,,,,170.0,0.166,40.0,23.53,8.0,4.71,0.512,0.106,24.68,12.36,17.24,29.59,32.89,21.74,,,,,,,,,,,,,,
746737,2024-03-28,2024,657041,R,608718,L,strikeout,True,False,,,,,,,,,,,,,,,192.0,0.331,33.0,17.19,13.0,6.77,0.948,0.2419999999999999,14.83,6.49,18.37,24.86,23.4,17.65,,,,,,,,,,,,,,
746737,2024-03-28,2024,682829,L,663432,R,single,False,False,,,,,,,,,,,,,,,307.0,0.255,95.0,30.94,30.0,9.77,0.7989999999999999,0.2159999999999999,26.69,11.86,17.47,29.33,31.27,25.07,,,,,,,,,,,,,,
746737,2024-03-28,2024,668715,R,663432,R,hit_by_pitch,False,False,,,,,,,,,,,,,,,487.0,0.256,106.0,21.77,51.0,10.47,0.7789999999999999,0.175,25.48,10.86,19.02,29.88,22.75,18.53,,,,,,,,,,,,,,
746737,2024-03-28,2024,605361,L,663432,R,field_out,False,False,,,,,,,,,,,,,,,67.0,0.262,11.0,16.42,4.0,5.97,0.951,0.361,16.8,7.78,18.52,26.3,24.19,11.46,,,,,,,,,,,,,,
746737,2024-03-28,2024,663886,R,663432,R,fielders_choice_out,False,False,,,,,,,,,,,,,,,378.0,0.228,105.0,27.78,34.0,8.99,0.657,0.1239999999999999,29.78,12.81,19.96,32.77,26.19,24.59,,,,,,,,,,,,,,
746737,2024-03-28,2024,663697,R,663432,R,field_out,False,False,,,,,,,,,,,,,,,397.0,0.257,73.0,18.39,37.0,9.32,0.7809999999999999,0.175,21.3,8.18,21.42,29.59,19.53,15.19,,,,,,,,,,,,,,
746737,2024-03-28,2024,608385,L,608718,L,field_out,False,False,,,,,,,,,,,,,,,13.0,0.182,5.0,38.46,2.0,15.38,0.581,0.091,15.38,6.15,20.0,26.15,7.14,19.23,,,,,,,,,,,,,,
746737,2024-03-28,2024,608841,R,608718,L,field_out,False,False,,,,,,,,,,,,,,,188.0,0.291,33.0,17.55,10.0,5.32,0.771,0.143,23.12,11.37,16.16,27.53,33.86,14.29,,,,,,,,,,,,,,
746737,2024-03-28,2024,608336,L,608718,L,strikeout,True,False,,,,,,,,,,,,,,,59.0,0.18,24.0,40.68,8.0,13.56,0.7050000000000001,0.22,42.99,19.01,15.7,34.71,27.69,30.0,,,,,,,,,,,,,,
745445,2024-03-28,2024,808982,L,506433,R,strikeout,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745445,2024-03-28,2024,624585,R,506433,R,strikeout,True,False,,,,,,,,,,,,,,,446.0,0.242,111.0,24.89,46.0,10.31,0.788,0.22,27.97,12.22,16.15,28.37,25.71,21.19,,,,,,,,,,,,,,
